lg,item,syn,sentence,condition,headn,attn,verbn,model_type,attention_entropy,attention_diff
russian,6,0,Взгляд на снимок из-под длинных опущенных ресниц был брошен,SG-SG-SG,SG,SG,SG,bert,1.0379771,0.08330459167547045
russian,6,0,Взгляд на снимок из-под длинных опущенных ресниц были брошены,SG-SG-PL,SG,SG,PL,bert,1.0499523,0.09076954584169386
russian,6,0,Взгляд на снимки из-под длинных опущенных ресниц был брошен,SG-PL-SG,SG,PL,SG,bert,0.99837905,0.10859904802014425
russian,6,0,Взгляд на снимки из-под длинных опущенных ресниц были брошены,SG-PL-PL,SG,PL,PL,bert,1.065892,0.05973882532958012
russian,6,0,Взгляды на снимок из-под длинных опущенных ресниц был брошен,PL-SG-SG,PL,SG,SG,bert,1.0580142,0.0315931518953336
russian,6,0,Взгляды на снимок из-под длинных опущенных ресниц были брошены,PL-SG-PL,PL,SG,PL,bert,1.1916864,0.07919641588186807
russian,6,0,Взгляды на снимки из-под длинных опущенных ресниц был брошен,PL-PL-SG,PL,PL,SG,bert,1.0185272,0.0637943634804167
russian,6,0,Взгляды на снимки из-под длинных опущенных ресниц были брошены,PL-PL-PL,PL,PL,PL,bert,1.1880934,0.04689838989414402
russian,7,0,Возражение на упрёк без излишне бурных эмоций было принято,SG-SG-SG,SG,SG,SG,bert,1.044909,0.08927276445343665
russian,7,0,Возражение на упрёк без излишне бурных эмоций были приняты,SG-SG-PL,SG,SG,PL,bert,0.9111603,0.09858413945688735
russian,7,0,Возражение на упреки без излишне бурных эмоций было принято,SG-PL-SG,SG,PL,SG,bert,1.0409952,0.0944502021553876
russian,7,0,Возражение на упреки без излишне бурных эмоций были приняты,SG-PL-PL,SG,PL,PL,bert,0.92309046,0.09449961099310045
russian,7,0,Возражения на упрёк без излишне бурных эмоций было принято,PL-SG-SG,PL,SG,SG,bert,1.0491536,0.07073025026438047
russian,7,0,Возражения на упрёк без излишне бурных эмоций были приняты,PL-SG-PL,PL,SG,PL,bert,0.989015,0.08967297219924553
russian,7,0,Возражения на упреки без излишне бурных эмоций было принято,PL-PL-SG,PL,PL,SG,bert,1.0432979,0.07234191098816449
russian,7,0,Возражения на упреки без излишне бурных эмоций были приняты,PL-PL-PL,PL,PL,PL,bert,0.9957649,0.08449015525405398
russian,8,0,Выстрел в цель из-за сбитого прицела ружья был неточным,SG-SG-SG,SG,SG,SG,bert,1.1289256,0.12590549222900352
russian,8,0,Выстрел в цель из-за сбитого прицела ружья были неточными,SG-SG-PL,SG,SG,PL,bert,0.95428884,0.10287360166849496
russian,8,0,Выстрел в цели из-за сбитого прицела ружья был неточным,SG-PL-SG,SG,PL,SG,bert,1.1213586,0.1302582590440451
russian,8,0,Выстрел в цели из-за сбитого прицела ружья были неточными,SG-PL-PL,SG,PL,PL,bert,0.95840186,0.09893027827858088
russian,8,0,Выстрелы в цель из-за сбитого прицела ружья был неточным,PL-SG-SG,PL,SG,SG,bert,1.0202005,0.09532556243353413
russian,8,0,Выстрелы в цель из-за сбитого прицела ружья были неточными,PL-SG-PL,PL,SG,PL,bert,1.0406091,0.07309515603910871
russian,8,0,Выстрелы в цели из-за сбитого прицела ружья был неточным,PL-PL-SG,PL,PL,SG,bert,1.0006957,0.09521987303413308
russian,8,0,Выстрелы в цели из-за сбитого прицела ружья были неточными,PL-PL-PL,PL,PL,PL,bert,1.0385098,0.07318355740016157
russian,9,0,Дорога через лес для снабжения людей провизией была проложена,SG-SG-SG,SG,SG,SG,bert,1.2989378,0.08329549360461365
russian,9,0,Дорога через лес для снабжения людей провизией были проложены,SG-SG-PL,SG,SG,PL,bert,1.2328938,0.07826946512752694
russian,9,0,Дорога через леса для снабжения людей провизией была проложена,SG-PL-SG,SG,PL,SG,bert,1.2841132,0.08444790884261186
russian,9,0,Дорога через леса для снабжения людей провизией были проложены,SG-PL-PL,SG,PL,PL,bert,1.2174565,0.07800657700236072
russian,9,0,Дороги через лес для снабжения людей провизией была проложена,PL-SG-SG,PL,SG,SG,bert,1.2531115,0.06012747148165609
russian,9,0,Дороги через лес для снабжения людей провизией были проложены,PL-SG-PL,PL,SG,PL,bert,1.3209436,0.05993475279533944
russian,9,0,Дороги через леса для снабжения людей провизией была проложена,PL-PL-SG,PL,PL,SG,bert,1.2243013,0.06019724598665146
russian,9,0,Дороги через леса для снабжения людей провизией были проложены,PL-PL-PL,PL,PL,PL,bert,1.3124361,0.05958032919973031
russian,10,0,Жалоба на боль из-за нарушения дыхания пациента была тихой,SG-SG-SG,SG,SG,SG,bert,1.0367693,0.13046428563514448
russian,10,0,Жалоба на боль из-за нарушения дыхания пациента были тихими,SG-SG-PL,SG,SG,PL,bert,1.1399295,0.08320226402625022
russian,10,0,Жалоба на боли из-за нарушения дыхания пациента была тихой,SG-PL-SG,SG,PL,SG,bert,1.0454158,0.15520950512234158
russian,10,0,Жалоба на боли из-за нарушения дыхания пациента были тихими,SG-PL-PL,SG,PL,PL,bert,1.1493026,0.07532593302461674
russian,10,0,Жалобы на боль из-за нарушения дыхания пациента была тихой,PL-SG-SG,PL,SG,SG,bert,0.9428622,0.11024470669534353
russian,10,0,Жалобы на боль из-за нарушения дыхания пациента были тихими,PL-SG-PL,PL,SG,PL,bert,1.1879599,0.06651935381663428
russian,10,0,Жалобы на боли из-за нарушения дыхания пациента была тихой,PL-PL-SG,PL,PL,SG,bert,0.9450963,0.14079141615073187
russian,10,0,Жалобы на боли из-за нарушения дыхания пациента были тихими,PL-PL-PL,PL,PL,PL,bert,1.1837113,0.06670606795993533
russian,11,0,История про убийство в присутствии маленьких детей была рассказана,SG-SG-SG,SG,SG,SG,bert,0.94517505,0.05104708911983753
russian,11,0,История про убийство в присутствии маленьких детей были рассказаны,SG-SG-PL,SG,SG,PL,bert,0.900056,0.048181411814503326
russian,11,0,История про убийства в присутствии маленьких детей была рассказана,SG-PL-SG,SG,PL,SG,bert,0.9305065,0.058511122122889954
russian,11,0,История про убийства в присутствии маленьких детей были рассказаны,SG-PL-PL,SG,PL,PL,bert,0.89764136,0.048087069808738475
russian,11,0,Истории про убийство в присутствии маленьких детей была рассказана,PL-SG-SG,PL,SG,SG,bert,0.96535337,0.02087410125906759
russian,11,0,Истории про убийство в присутствии маленьких детей были рассказаны,PL-SG-PL,PL,SG,PL,bert,0.93452775,0.017414777216183452
russian,11,0,Истории про убийства в присутствии маленьких детей была рассказана,PL-PL-SG,PL,PL,SG,bert,0.95302427,0.027338450078733343
russian,11,0,Истории про убийства в присутствии маленьких детей были рассказаны,PL-PL-PL,PL,PL,PL,bert,0.9378854,0.019021040644275365
russian,12,0,Кредит на участок из-за высокой стоимости земли был долгосрочным,SG-SG-SG,SG,SG,SG,bert,1.1100042,0.07101694357680483
russian,12,0,Кредит на участок из-за высокой стоимости земли были долгосрочными,SG-SG-PL,SG,SG,PL,bert,0.9763668,0.0788385877733141
russian,12,0,Кредит на участки из-за высокой стоимости земли был долгосрочным,SG-PL-SG,SG,PL,SG,bert,1.1078645,0.09191065882788689
russian,12,0,Кредит на участки из-за высокой стоимости земли были долгосрочными,SG-PL-PL,SG,PL,PL,bert,0.9721535,0.07411815485588125
russian,12,0,Кредиты на участок из-за высокой стоимости земли был долгосрочным,PL-SG-SG,PL,SG,SG,bert,0.9718221,0.07263182124444345
russian,12,0,Кредиты на участок из-за высокой стоимости земли были долгосрочными,PL-SG-PL,PL,SG,PL,bert,1.017706,0.07900094447069503
russian,12,0,Кредиты на участки из-за высокой стоимости земли был долгосрочным,PL-PL-SG,PL,PL,SG,bert,0.951882,0.09368430768493848
russian,12,0,Кредиты на участки из-за высокой стоимости земли были долгосрочными,PL-PL-PL,PL,PL,PL,bert,1.0044329,0.07897508165922497
russian,13,0,Кружево на наряд в вышитый шелковый мешочек было упаковано,SG-SG-SG,SG,SG,SG,bert,0.9566282,0.08493183490847434
russian,13,0,Кружево на наряд в вышитый шелковый мешочек были упакованы,SG-SG-PL,SG,SG,PL,bert,0.9814329,0.07106385420821337
russian,13,0,Кружево на наряды в вышитый шелковый мешочек было упаковано,SG-PL-SG,SG,PL,SG,bert,0.949886,0.08791659850284814
russian,13,0,Кружево на наряды в вышитый шелковый мешочек были упакованы,SG-PL-PL,SG,PL,PL,bert,1.006048,0.05085985838830262
russian,13,0,Кружева на наряд в вышитый шелковый мешочек было упаковано,PL-SG-SG,PL,SG,SG,bert,0.9880145,0.05927094323547763
russian,13,0,Кружева на наряд в вышитый шелковый мешочек были упакованы,PL-SG-PL,PL,SG,PL,bert,1.0102322,0.06514319332633044
russian,13,0,Кружева на наряды в вышитый шелковый мешочек было упаковано,PL-PL-SG,PL,PL,SG,bert,1.0006503,0.055217219515274044
russian,13,0,Кружева на наряды в вышитый шелковый мешочек были упакованы,PL-PL-PL,PL,PL,PL,bert,1.0302356,0.04576293764716243
russian,14,0,Легенда про замок в старинной летописи графства была записана,SG-SG-SG,SG,SG,SG,bert,1.0506157,0.10435397619970645
russian,14,0,Легенда про замок в старинной летописи графства были записаны,SG-SG-PL,SG,SG,PL,bert,1.0662917,0.08427852553773212
russian,14,0,Легенда про замки в старинной летописи графства была записана,SG-PL-SG,SG,PL,SG,bert,1.0408947,0.1090060737120409
russian,14,0,Легенда про замки в старинной летописи графства были записаны,SG-PL-PL,SG,PL,PL,bert,1.106339,0.06775211826509793
russian,14,0,Легенды про замок в старинной летописи графства была записана,PL-SG-SG,PL,SG,SG,bert,1.1422492,0.044614733200977266
russian,14,0,Легенды про замок в старинной летописи графства были записаны,PL-SG-PL,PL,SG,PL,bert,1.1253932,0.0660079838512404
russian,14,0,Легенды про замки в старинной летописи графства была записана,PL-PL-SG,PL,PL,SG,bert,1.1339042,0.04746126690777623
russian,14,0,Легенды про замки в старинной летописи графства были записаны,PL-PL-PL,PL,PL,PL,bert,1.1346871,0.057241689084190764
russian,15,0,Лестница в подвал из-за отсутствия свободного места была крутой,SG-SG-SG,SG,SG,SG,bert,0.95402396,0.11850945887451197
russian,15,0,Лестница в подвал из-за отсутствия свободного места были крутыми,SG-SG-PL,SG,SG,PL,bert,1.0246379,0.08865039750009897
russian,15,0,Лестница в подвалы из-за отсутствия свободного места была крутой,SG-PL-SG,SG,PL,SG,bert,0.9404421,0.12428588598123831
russian,15,0,Лестница в подвалы из-за отсутствия свободного места были крутыми,SG-PL-PL,SG,PL,PL,bert,1.0308868,0.07117114454608964
russian,15,0,Лестницы в подвал из-за отсутствия свободного места была крутой,PL-SG-SG,PL,SG,SG,bert,0.9281801,0.12355986127700302
russian,15,0,Лестницы в подвал из-за отсутствия свободного места были крутыми,PL-SG-PL,PL,SG,PL,bert,1.1047251,0.08299376657826062
russian,15,0,Лестницы в подвалы из-за отсутствия свободного места была крутой,PL-PL-SG,PL,PL,SG,bert,0.9100704,0.12144042250823904
russian,15,0,Лестницы в подвалы из-за отсутствия свободного места были крутыми,PL-PL-PL,PL,PL,PL,bert,1.1070911,0.06699554182949316
russian,16,0,Мост через овраг после окончания военных действий был возведен,SG-SG-SG,SG,SG,SG,bert,1.1751719,0.05006616561294112
russian,16,0,Мост через овраг после окончания военных действий были возведены,SG-SG-PL,SG,SG,PL,bert,0.9668211,0.05732827960707521
russian,16,0,Мост через овраги после окончания военных действий был возведен,SG-PL-SG,SG,PL,SG,bert,1.1560154,0.06663816264556369
russian,16,0,Мост через овраги после окончания военных действий были возведены,SG-PL-PL,SG,PL,PL,bert,0.97582626,0.05519836525648224
russian,16,0,Мосты через овраг после окончания военных действий был возведен,PL-SG-SG,PL,SG,SG,bert,1.159726,0.03158871989961012
russian,16,0,Мосты через овраг после окончания военных действий были возведены,PL-SG-PL,PL,SG,PL,bert,1.0401399,0.049133776166009356
russian,16,0,Мосты через овраги после окончания военных действий был возведен,PL-PL-SG,PL,PL,SG,bert,1.1590621,0.041081640880571646
russian,16,0,Мосты через овраги после окончания военных действий были возведены,PL-PL-PL,PL,PL,PL,bert,1.0563,0.04712189943127789
russian,17,0,Налог на доход из-за смены политического курса был повышен,SG-SG-SG,SG,SG,SG,bert,1.0721489,0.10414153700164931
russian,17,0,Налог на доход из-за смены политического курса были повышены,SG-SG-PL,SG,SG,PL,bert,1.0115526,0.10573651822402877
russian,17,0,Налог на доходы из-за смены политического курса был повышен,SG-PL-SG,SG,PL,SG,bert,1.0684702,0.1016693254244468
russian,17,0,Налог на доходы из-за смены политического курса были повышены,SG-PL-PL,SG,PL,PL,bert,1.0249949,0.09040687907991418
russian,17,0,Налоги на доход из-за смены политического курса был повышен,PL-SG-SG,PL,SG,SG,bert,1.0459056,0.08200302965140172
russian,17,0,Налоги на доход из-за смены политического курса были повышены,PL-SG-PL,PL,SG,PL,bert,1.0725209,0.08181867113864981
russian,17,0,Налоги на доходы из-за смены политического курса был повышен,PL-PL-SG,PL,PL,SG,bert,1.0269136,0.08615836514848825
russian,17,0,Налоги на доходы из-за смены политического курса были повышены,PL-PL-PL,PL,PL,PL,bert,1.0936537,0.0692836930414037
russian,18,0,Нападение на банк с применением холодного оружия было совершено,SG-SG-SG,SG,SG,SG,bert,1.0261316,0.053533382348135206
russian,18,0,Нападение на банк с применением холодного оружия были совершены,SG-SG-PL,SG,SG,PL,bert,0.9565753,0.05375389158689358
russian,18,0,Нападение на банки с применением холодного оружия было совершено,SG-PL-SG,SG,PL,SG,bert,1.0106214,0.05271573452622391
russian,18,0,Нападение на банки с применением холодного оружия были совершены,SG-PL-PL,SG,PL,PL,bert,0.9495926,0.05124390576334008
russian,18,0,Нападения на банк с применением холодного оружия было совершено,PL-SG-SG,PL,SG,SG,bert,1.0103948,0.04021882050085353
russian,18,0,Нападения на банк с применением холодного оружия были совершены,PL-SG-PL,PL,SG,PL,bert,0.9801893,0.0421571351302326
russian,18,0,Нападения на банки с применением холодного оружия было совершено,PL-PL-SG,PL,PL,SG,bert,1.0061783,0.0389087506535251
russian,18,0,Нападения на банки с применением холодного оружия были совершены,PL-PL-PL,PL,PL,PL,bert,0.9803855,0.03665946679932688
russian,19,0,Окно в сад из-за сильного холодного ветра было закрыто,SG-SG-SG,SG,SG,SG,bert,1.1350763,0.08103071268511408
russian,19,0,Окно в сад из-за сильного холодного ветра были закрыты,SG-SG-PL,SG,SG,PL,bert,0.82015765,0.10339938227995367
russian,19,0,Окно в сады из-за сильного холодного ветра было закрыто,SG-PL-SG,SG,PL,SG,bert,1.1228311,0.08844979815928627
russian,19,0,Окно в сады из-за сильного холодного ветра были закрыты,SG-PL-PL,SG,PL,PL,bert,0.82857525,0.08385744270141166
russian,19,0,Окна в сад из-за сильного холодного ветра было закрыто,PL-SG-SG,PL,SG,SG,bert,1.1626503,0.05755859063838012
russian,19,0,Окна в сад из-за сильного холодного ветра были закрыты,PL-SG-PL,PL,SG,PL,bert,0.9602892,0.08652894266544009
russian,19,0,Окна в сады из-за сильного холодного ветра было закрыто,PL-PL-SG,PL,PL,SG,bert,1.1531906,0.06074494886518217
russian,19,0,Окна в сады из-за сильного холодного ветра были закрыты,PL-PL-PL,PL,PL,PL,bert,0.95654714,0.07370339936041774
russian,20,0,Ответ на вопрос из-за недостаточного знания материала был неверным,SG-SG-SG,SG,SG,SG,bert,1.1763071,0.06330631169160544
russian,20,0,Ответ на вопрос из-за недостаточного знания материала были неверными,SG-SG-PL,SG,SG,PL,bert,1.062679,0.08564199491931129
russian,20,0,Ответ на вопросы из-за недостаточного знания материала был неверным,SG-PL-SG,SG,PL,SG,bert,1.1639321,0.08644918369999832
russian,20,0,Ответ на вопросы из-за недостаточного знания материала были неверными,SG-PL-PL,SG,PL,PL,bert,1.0908182,0.07125459950493576
russian,20,0,Ответы на вопрос из-за недостаточного знания материала был неверным,PL-SG-SG,PL,SG,SG,bert,1.1215723,0.06294313856448441
russian,20,0,Ответы на вопрос из-за недостаточного знания материала были неверными,PL-SG-PL,PL,SG,PL,bert,1.1425374,0.07489689953801074
russian,20,0,Ответы на вопросы из-за недостаточного знания материала был неверным,PL-PL-SG,PL,PL,SG,bert,1.0848944,0.08763028096086602
russian,20,0,Ответы на вопросы из-за недостаточного знания материала были неверными,PL-PL-PL,PL,PL,PL,bert,1.1348073,0.0681037360470538
russian,21,0,Очередь в театр из-за большого наплыва туристов была бесконечной,SG-SG-SG,SG,SG,SG,bert,1.0555841,0.12718965912662256
russian,21,0,Очередь в театр из-за большого наплыва туристов были бесконечными,SG-SG-PL,SG,SG,PL,bert,1.1466031,0.08780135806577771
russian,21,0,Очередь в театры из-за большого наплыва туристов была бесконечной,SG-PL-SG,SG,PL,SG,bert,1.0762105,0.12601227702103165
russian,21,0,Очередь в театры из-за большого наплыва туристов были бесконечными,SG-PL-PL,SG,PL,PL,bert,1.1651394,0.07771131161809841
russian,21,0,Очереди в театр из-за большого наплыва туристов была бесконечной,PL-SG-SG,PL,SG,SG,bert,1.0227262,0.07785190127200856
russian,21,0,Очереди в театр из-за большого наплыва туристов были бесконечными,PL-SG-PL,PL,SG,PL,bert,1.2792323,0.06711591938561748
russian,21,0,Очереди в театры из-за большого наплыва туристов была бесконечной,PL-PL-SG,PL,PL,SG,bert,1.0158894,0.0795632027018265
russian,21,0,Очереди в театры из-за большого наплыва туристов были бесконечными,PL-PL-PL,PL,PL,PL,bert,1.2923639,0.060206788262220604
russian,22,0,Переправа через ручей из-за тяжёлых погодных условий была опасной,SG-SG-SG,SG,SG,SG,bert,1.0152776,0.1387313728589197
russian,22,0,Переправа через ручей из-за тяжёлых погодных условий были опасными,SG-SG-PL,SG,SG,PL,bert,1.1136029,0.10411887480509792
russian,22,0,Переправа через ручьи из-за тяжёлых погодных условий была опасной,SG-PL-SG,SG,PL,SG,bert,1.0289992,0.17114837878944483
russian,22,0,Переправа через ручьи из-за тяжёлых погодных условий были опасными,SG-PL-PL,SG,PL,PL,bert,1.1391861,0.10236259932671898
russian,22,0,Переправы через ручей из-за тяжёлых погодных условий была опасной,PL-SG-SG,PL,SG,SG,bert,0.9858948,0.12433253908086205
russian,22,0,Переправы через ручей из-за тяжёлых погодных условий были опасными,PL-SG-PL,PL,SG,PL,bert,1.1757505,0.10671161210402584
russian,22,0,Переправы через ручьи из-за тяжёлых погодных условий была опасной,PL-PL-SG,PL,PL,SG,bert,0.99881303,0.12409888962144716
russian,22,0,Переправы через ручьи из-за тяжёлых погодных условий были опасными,PL-PL-PL,PL,PL,PL,bert,1.2060277,0.10791129126553638
russian,23,0,Песня про поезд для большинства отставных машинистов была грустной,SG-SG-SG,SG,SG,SG,bert,1.0654943,0.11492267457977544
russian,23,0,Песня про поезд для большинства отставных машинистов были грустными,SG-SG-PL,SG,SG,PL,bert,1.0612934,0.10064872237479848
russian,23,0,Песня про поезда для большинства отставных машинистов была грустной,SG-PL-SG,SG,PL,SG,bert,1.0643363,0.11511343709524849
russian,23,0,Песня про поезда для большинства отставных машинистов были грустными,SG-PL-PL,SG,PL,PL,bert,1.0739998,0.08916324691996438
russian,23,0,Песни про поезд для большинства отставных машинистов была грустной,PL-SG-SG,PL,SG,SG,bert,1.0638912,0.0734718849441247
russian,23,0,Песни про поезд для большинства отставных машинистов были грустными,PL-SG-PL,PL,SG,PL,bert,1.1372538,0.08755436221196947
russian,23,0,Песни про поезда для большинства отставных машинистов была грустной,PL-PL-SG,PL,PL,SG,bert,1.0514941,0.07613566471231367
russian,23,0,Песни про поезда для большинства отставных машинистов были грустными,PL-PL-PL,PL,PL,PL,bert,1.1449895,0.08030260161868073
russian,24,0,Письмо про поход из маленького сибирского посёлка было отправлено,SG-SG-SG,SG,SG,SG,bert,1.2093557,0.07402424259260959
russian,24,0,Письмо про поход из маленького сибирского посёлка были отправлены,SG-SG-PL,SG,SG,PL,bert,1.0634452,0.09741098529441433
russian,24,0,Письмо про походы из маленького сибирского посёлка было отправлено,SG-PL-SG,SG,PL,SG,bert,1.2054784,0.07418574423081176
russian,24,0,Письмо про походы из маленького сибирского посёлка были отправлены,SG-PL-PL,SG,PL,PL,bert,1.1404465,0.062775709145703
russian,24,0,Письма про поход из маленького сибирского посёлка было отправлено,PL-SG-SG,PL,SG,SG,bert,1.2057236,0.06235788331869305
russian,24,0,Письма про поход из маленького сибирского посёлка были отправлены,PL-SG-PL,PL,SG,PL,bert,1.134904,0.07839220810292061
russian,24,0,Письма про походы из маленького сибирского посёлка было отправлено,PL-PL-SG,PL,PL,SG,bert,1.2014867,0.05550526910487981
russian,24,0,Письма про походы из маленького сибирского посёлка были отправлены,PL-PL-PL,PL,PL,PL,bert,1.1738236,0.058480553308911616
russian,25,0,План на выходной из-за визита назойливых родственников был разрушен,SG-SG-SG,SG,SG,SG,bert,1.087745,0.060721768949029864
russian,25,0,План на выходной из-за визита назойливых родственников были разрушены,SG-SG-PL,SG,SG,PL,bert,0.94860506,0.09671440833685456
russian,25,0,План на выходные из-за визита назойливых родственников был разрушен,SG-PL-SG,SG,PL,SG,bert,1.1126086,0.09372044948660285
russian,25,0,План на выходные из-за визита назойливых родственников были разрушены,SG-PL-PL,SG,PL,PL,bert,0.9649256,0.0978755688399986
russian,25,0,Планы на выходной из-за визита назойливых родственников был разрушен,PL-SG-SG,PL,SG,SG,bert,1.0244875,0.058769826596554
russian,25,0,Планы на выходной из-за визита назойливых родственников были разрушены,PL-SG-PL,PL,SG,PL,bert,1.0548327,0.09308358782508545
russian,25,0,Планы на выходные из-за визита назойливых родственников был разрушен,PL-PL-SG,PL,PL,SG,bert,1.0606779,0.08931137101498965
russian,25,0,Планы на выходные из-за визита назойливых родственников были разрушены,PL-PL-PL,PL,PL,PL,bert,1.0938141,0.09330980494725247
russian,26,0,Поездка на остров для молодых влюблённых студентов была незабываемой,SG-SG-SG,SG,SG,SG,bert,0.89664423,0.09983996469570044
russian,26,0,Поездка на остров для молодых влюблённых студентов были незабываемыми,SG-SG-PL,SG,SG,PL,bert,1.1277955,0.09533230160525434
russian,26,0,Поездка на острова для молодых влюблённых студентов была незабываемой,SG-PL-SG,SG,PL,SG,bert,0.8944437,0.09855978842433909
russian,26,0,Поездка на острова для молодых влюблённых студентов были незабываемыми,SG-PL-PL,SG,PL,PL,bert,1.1336764,0.09035736553586773
russian,26,0,Поездки на остров для молодых влюблённых студентов была незабываемой,PL-SG-SG,PL,SG,SG,bert,0.85012263,0.08203786296379469
