item,condition,attractor,case,verb,sentence,model_type,attention_entropy,attention_diff
5,amb_sg_sg,sg,amb,sg,Der Hilferuf für die Polizeizentrale ist bekannt.,bert,1.1651194,-0.021972682271653304
5,amb_sg_pl,sg,amb,pl,Der Hilferuf für die Polizeizentrale sind bekannt.,bert,1.1828803,-0.017745311034782895
5,amb_pl_sg,pl,amb,sg,Der Hilferuf für die Polizeizentralen ist bekannt.,bert,1.1647831,-0.017578052666514153
5,amb_pl_pl,pl,amb,pl,Der Hilferuf für die Polizeizentralen sind bekannt.,bert,1.1945822,-0.018485415436637183
5,unamb_sg_sg,sg,unamb,sg,Der Hilferuf in der Polizeizentrale ist bekannt.,bert,1.0977073,-0.013646277512745636
5,unamb_sg_pl,sg,unamb,pl,Der Hilferuf in der Polizeizentrale sind bekannt.,bert,1.1379017,-0.010922954081755663
5,unamb_pl_sg,pl,unamb,sg,Der Hilferuf in den Polizeizentralen ist bekannt.,bert,1.0859219,-0.011278426900110695
5,unamb_pl_pl,pl,unamb,pl,Der Hilferuf in den Polizeizentralen sind bekannt.,bert,1.155114,-0.01244755873829305
6,amb_sg_sg,sg,amb,sg,Der Brief an die Mutter ist bekannt.,bert,0.93458235,0.002224902586164111
6,amb_sg_pl,sg,amb,pl,Der Brief an die Mutter sind bekannt.,bert,0.9878914,0.008608029428684088
6,amb_pl_sg,pl,amb,sg,Der Brief an die Mütter ist bekannt.,bert,0.9889307,-0.029632121842889915
6,amb_pl_pl,pl,amb,pl,Der Brief an die Mütter sind bekannt.,bert,1.0493228,-0.030295845589630242
6,unamb_sg_sg,sg,unamb,sg,Der Brief von der Mutter ist bekannt.,bert,0.9592782,0.0004954286697059877
6,unamb_sg_pl,sg,unamb,pl,Der Brief von der Mutter sind bekannt.,bert,1.0052812,0.007790005156288712
6,unamb_pl_sg,pl,unamb,sg,Der Brief von den Müttern ist bekannt.,bert,0.9938448,-0.034813116288860385
6,unamb_pl_pl,pl,unamb,pl,Der Brief von den Müttern sind bekannt.,bert,1.0609804,-0.03627269500515327
7,amb_sg_sg,sg,amb,sg,Der Einbruch in die Bank ist bekannt.,bert,1.0528263,0.009359119406089585
7,amb_sg_pl,sg,amb,pl,Der Einbruch in die Bank sind bekannt.,bert,1.0312331,0.015374533705929115
7,amb_pl_sg,pl,amb,sg,Der Einbruch in die Banken ist bekannt.,bert,1.0592701,0.007302618510399303
7,amb_pl_pl,pl,amb,pl,Der Einbruch in die Banken sind bekannt.,bert,1.0621858,-0.00012289536406615356
7,unamb_sg_sg,sg,unamb,sg,Der Einbruch bei der Bank ist bekannt.,bert,1.0967715,0.012017194122869286
7,unamb_sg_pl,sg,unamb,pl,Der Einbruch bei der Bank sind bekannt.,bert,1.0743368,0.016974382467079926
7,unamb_pl_sg,pl,unamb,sg,Der Einbruch bei den Banken ist bekannt.,bert,1.0932682,0.011499886434300478
7,unamb_pl_pl,pl,unamb,pl,Der Einbruch bei den Banken sind bekannt.,bert,1.1109515,0.003965765300785649
8,amb_sg_sg,sg,amb,sg,Der Ratschlag für die Hausfrau ist bekannt.,bert,1.1396304,-0.007211831906767392
8,amb_sg_pl,sg,amb,pl,Der Ratschlag für die Hausfrau sind bekannt.,bert,1.2158954,0.022945055150836127
8,amb_pl_sg,pl,amb,sg,Der Ratschlag für die Hausfrauen ist bekannt.,bert,1.1152794,0.003636276645088511
8,amb_pl_pl,pl,amb,pl,Der Ratschlag für die Hausfrauen sind bekannt.,bert,1.1885067,0.005823085824998242
8,unamb_sg_sg,sg,unamb,sg,Der Ratschlag von der Hausfrau ist bekannt.,bert,1.0752119,0.004802372591543036
8,unamb_sg_pl,sg,unamb,pl,Der Ratschlag von der Hausfrau sind bekannt.,bert,1.1399791,0.03995934098912909
8,unamb_pl_sg,pl,unamb,sg,Der Ratschlag von den Hausfrauen ist bekannt.,bert,1.0507556,0.02222172762744197
8,unamb_pl_pl,pl,unamb,pl,Der Ratschlag von den Hausfrauen sind bekannt.,bert,1.1477745,0.04441001048000359
9,amb_sg_sg,sg,amb,sg,Der Angriff auf die Industriestadt ist bekannt.,bert,1.0549588,0.008357679915316628
9,amb_sg_pl,sg,amb,pl,Der Angriff auf die Industriestadt sind bekannt.,bert,1.0677418,0.004045447935344025
9,amb_pl_sg,pl,amb,sg,Der Angriff auf die Industriestädte ist bekannt.,bert,1.0221318,-0.019375237220193325
9,amb_pl_pl,pl,amb,pl,Der Angriff auf die Industriestädte sind bekannt.,bert,1.0487341,-0.023448394416941507
9,unamb_sg_sg,sg,unamb,sg,Der Angriff bei der Industriestadt ist bekannt.,bert,1.0726066,0.0020362305507010334
9,unamb_sg_pl,sg,unamb,pl,Der Angriff bei der Industriestadt sind bekannt.,bert,1.0864646,-0.0038341479447483832
9,unamb_pl_sg,pl,unamb,sg,Der Angriff bei den Industriestädten ist bekannt.,bert,1.0711849,-0.026500156254757243
9,unamb_pl_pl,pl,unamb,pl,Der Angriff bei den Industriestädten sind bekannt.,bert,1.0904204,-0.034883445613483235
10,amb_sg_sg,sg,amb,sg,Der Bericht über das Fussballspiel ist bekannt.,bert,1.1849705,0.0016746295977591863
10,amb_sg_pl,sg,amb,pl,Der Bericht über das Fussballspiel sind bekannt.,bert,1.2364913,0.007183274246424197
10,amb_pl_sg,pl,amb,sg,Der Bericht über die Fussballspiele ist bekannt.,bert,1.1793691,0.0013972028906480832
10,amb_pl_pl,pl,amb,pl,Der Bericht über die Fussballspiele sind bekannt.,bert,1.2490338,-0.007234306925135638
10,unamb_sg_sg,sg,unamb,sg,Der Bericht nach dem Fussballspiel ist bekannt.,bert,1.1166934,0.00783876649560547
10,unamb_sg_pl,sg,unamb,pl,Der Bericht nach dem Fussballspiel sind bekannt.,bert,1.1775852,0.004366281222024558
10,unamb_pl_sg,pl,unamb,sg,Der Bericht nach den Fussballspielen ist bekannt.,bert,1.109173,0.00894999413704007
10,unamb_pl_pl,pl,unamb,pl,Der Bericht nach den Fussballspielen sind bekannt.,bert,1.1904542,0.004448917202328387
11,amb_sg_sg,sg,amb,sg,Der Aufstand gegen das Nachbarland ist bekannt.,bert,1.0589795,-0.015088065386147848
11,amb_sg_pl,sg,amb,pl,Der Aufstand gegen das Nachbarland sind bekannt.,bert,1.0741916,-0.005327555531789756
11,amb_pl_sg,pl,amb,sg,Der Aufstand gegen die Nachbarländer ist bekannt.,bert,1.0118496,-0.02377538480758698
11,amb_pl_pl,pl,amb,pl,Der Aufstand gegen die Nachbarländer sind bekannt.,bert,1.0527141,-0.01909061206338569
11,unamb_sg_sg,sg,unamb,sg,Der Aufstand in dem Nachbarland ist bekannt.,bert,1.059596,-0.03112776681734525
11,unamb_sg_pl,sg,unamb,pl,Der Aufstand in dem Nachbarland sind bekannt.,bert,1.0660279,-0.020811573520678747
11,unamb_pl_sg,pl,unamb,sg,Der Aufstand in den Nachbarländern ist bekannt.,bert,1.012583,-0.0309742724685408
11,unamb_pl_pl,pl,unamb,pl,Der Aufstand in den Nachbarländern sind bekannt.,bert,1.021736,-0.028426469018623148
12,amb_sg_sg,sg,amb,sg,Der Aufsatz für das Wochenblatt ist bekannt.,bert,1.1439689,0.00015746634262252257
12,amb_sg_pl,sg,amb,pl,Der Aufsatz für das Wochenblatt sind bekannt.,bert,1.1810731,-0.014723780428647693
12,amb_pl_sg,pl,amb,sg,Der Aufsatz für die Wochenblätter ist bekannt.,bert,1.0509183,0.015216298949938832
12,amb_pl_pl,pl,amb,pl,Der Aufsatz für die Wochenblätter sind bekannt.,bert,1.073081,-0.0058211996061759835
12,unamb_sg_sg,sg,unamb,sg,Der Aufsatz in dem Wochenblatt ist bekannt.,bert,1.115496,-0.009421747359849866
12,unamb_sg_pl,sg,unamb,pl,Der Aufsatz in dem Wochenblatt sind bekannt.,bert,1.1490111,-0.021752731519734735
12,unamb_pl_sg,pl,unamb,sg,Der Aufsatz in den Wochenblättern ist bekannt.,bert,1.0234427,-0.007078130250209536
12,unamb_pl_pl,pl,unamb,pl,Der Aufsatz in den Wochenblättern sind bekannt.,bert,1.0534552,-0.021466048174271137
13,amb_sg_sg,sg,amb,sg,Der Bericht über die Ärztin ist bekannt.,bert,1.0629529,-0.0022726221461582888
13,amb_sg_pl,sg,amb,pl,Der Bericht über die Ärztin sind bekannt.,bert,1.1131804,-0.006167324207866566
13,amb_pl_sg,pl,amb,sg,Der Bericht über die Ärztinnen ist bekannt.,bert,1.0629529,-0.0022726221461582888
13,amb_pl_pl,pl,amb,pl,Der Bericht über die Ärztinnen sind bekannt.,bert,1.1131804,-0.006167324207866566
13,unamb_sg_sg,sg,unamb,sg,Der Bericht von der Ärztin ist bekannt.,bert,1.0612514,-0.007816240659062647
13,unamb_sg_pl,sg,unamb,pl,Der Bericht von der Ärztin sind bekannt.,bert,1.1166761,-0.001805528638040746
13,unamb_pl_sg,pl,unamb,sg,Der Bericht von den Ärztinnen ist bekannt.,bert,1.0583116,-0.008109068173846004
13,unamb_pl_pl,pl,unamb,pl,Der Bericht von den Ärztinnen sind bekannt.,bert,1.1162711,-0.0036799021718953925
14,amb_sg_sg,sg,amb,sg,Der Verweis auf die Akte ist bekannt.,bert,1.0109569,0.08169694776126137
14,amb_sg_pl,sg,amb,pl,Der Verweis auf die Akte sind bekannt.,bert,1.0283731,0.09622994143050398
14,amb_pl_sg,pl,amb,sg,Der Verweis auf die Akten ist bekannt.,bert,1.042031,0.08041141792050492
14,amb_pl_pl,pl,amb,pl,Der Verweis auf die Akten sind bekannt.,bert,1.0572711,0.09219944524658796
14,unamb_sg_sg,sg,unamb,sg,Der Verweis in der Akte ist bekannt.,bert,1.0203834,0.023705386029806957
14,unamb_sg_pl,sg,unamb,pl,Der Verweis in der Akte sind bekannt.,bert,1.0798486,0.03251793391337718
14,unamb_pl_sg,pl,unamb,sg,Der Verweis in den Akten ist bekannt.,bert,1.0293405,0.030116112782116303
14,unamb_pl_pl,pl,unamb,pl,Der Verweis in den Akten sind bekannt.,bert,1.094229,0.026293744944757093
15,amb_sg_sg,sg,amb,sg,Der Kredit für die Grossbank ist bekannt.,bert,1.1503798,-0.02037022759970817
15,amb_sg_pl,sg,amb,pl,Der Kredit für die Grossbank sind bekannt.,bert,1.1269666,-0.01822302407601427
15,amb_pl_sg,pl,amb,sg,Der Kredit für die Grossbanken ist bekannt.,bert,1.1368036,-0.028434198911961646
15,amb_pl_pl,pl,amb,pl,Der Kredit für die Grossbanken sind bekannt.,bert,1.1411505,-0.035460818025835485
15,unamb_sg_sg,sg,unamb,sg,Der Kredit von der Grossbank ist bekannt.,bert,1.063188,-0.008873995942854908
15,unamb_sg_pl,sg,unamb,pl,Der Kredit von der Grossbank sind bekannt.,bert,1.035428,-0.0076468878297577675
15,unamb_pl_sg,pl,unamb,sg,Der Kredit von den Grossbanken ist bekannt.,bert,1.0639876,-0.019206692590833727
15,unamb_pl_pl,pl,unamb,pl,Der Kredit von den Grossbanken sind bekannt.,bert,1.0649749,-0.026660878464765624
16,amb_sg_sg,sg,amb,sg,Das Gespräch über das Mädchen ist bekannt.,bert,0.9559082,-0.0058183458712888665
16,amb_sg_pl,sg,amb,pl,Das Gespräch über das Mädchen sind bekannt.,bert,1.0094986,-0.007000465736765351
16,amb_pl_sg,pl,amb,sg,Das Gespräch über die Mädchen ist bekannt.,bert,0.9856922,-0.004768056382263488
16,amb_pl_pl,pl,amb,pl,Das Gespräch über die Mädchen sind bekannt.,bert,1.0272658,-0.0062542071926398254
16,unamb_sg_sg,sg,unamb,sg,Das Gespräch mit dem Mädchen ist bekannt.,bert,1.021916,-0.0027268520711550143
16,unamb_sg_pl,sg,unamb,pl,Das Gespräch mit dem Mädchen sind bekannt.,bert,1.0478994,-0.005593563897424519
16,unamb_pl_sg,pl,unamb,sg,Das Gespräch mit den Mädchen ist bekannt.,bert,1.0052061,-0.0030289473988694207
16,unamb_pl_pl,pl,unamb,pl,Das Gespräch mit den Mädchen sind bekannt.,bert,1.0569036,-0.005893677964935
17,amb_sg_sg,sg,amb,sg,Das Buch über die Bibliothek ist bekannt.,bert,1.0772547,-0.016507753612727667
17,amb_sg_pl,sg,amb,pl,Das Buch über die Bibliothek sind bekannt.,bert,1.0513998,-0.013075042687754251
17,amb_pl_sg,pl,amb,sg,Das Buch über die Bibliotheken ist bekannt.,bert,1.0840111,-0.010439155026915543
17,amb_pl_pl,pl,amb,pl,Das Buch über die Bibliotheken sind bekannt.,bert,1.0564659,-0.015831678812346546
17,unamb_sg_sg,sg,unamb,sg,Das Buch in der Bibliothek ist bekannt.,bert,1.022783,-0.020666103568412125
17,unamb_sg_pl,sg,unamb,pl,Das Buch in der Bibliothek sind bekannt.,bert,1.0362747,-0.013482837843122517
17,unamb_pl_sg,pl,unamb,sg,Das Buch in den Bibliotheken ist bekannt.,bert,1.0289787,-0.022971176312688375
17,unamb_pl_pl,pl,unamb,pl,Das Buch in den Bibliotheken sind bekannt.,bert,1.037174,-0.0181762267705599
18,amb_sg_sg,sg,amb,sg,Das Bild für die Frau ist bekannt.,bert,1.0721123,0.022928408153181357
18,amb_sg_pl,sg,amb,pl,Das Bild für die Frau sind bekannt.,bert,1.102158,0.021204532354942407
18,amb_pl_sg,pl,amb,sg,Das Bild für die Frauen ist bekannt.,bert,1.0785844,0.025521049695579424
18,amb_pl_pl,pl,amb,pl,Das Bild für die Frauen sind bekannt.,bert,1.1108191,0.011633371944990353
18,unamb_sg_sg,sg,unamb,sg,Das Bild mit der Frau ist bekannt.,bert,0.9910019,0.007806667894610271
18,unamb_sg_pl,sg,unamb,pl,Das Bild mit der Frau sind bekannt.,bert,1.0303028,0.008325383657865316
18,unamb_pl_sg,pl,unamb,sg,Das Bild mit den Frauen ist bekannt.,bert,0.9955271,0.022050058589659135
18,unamb_pl_pl,pl,unamb,pl,Das Bild mit den Frauen sind bekannt.,bert,1.072233,0.014305300775044081
19,amb_sg_sg,sg,amb,sg,Das Telegramm für die Sängerin ist bekannt.,bert,1.079673,0.010370949034347238
19,amb_sg_pl,sg,amb,pl,Das Telegramm für die Sängerin sind bekannt.,bert,1.1054192,-0.005626633879015252
19,amb_pl_sg,pl,amb,sg,Das Telegramm für die Sängerinnen ist bekannt.,bert,1.079673,0.010370949034347238
19,amb_pl_pl,pl,amb,pl,Das Telegramm für die Sängerinnen sind bekannt.,bert,1.1054192,-0.005626633879015252
19,unamb_sg_sg,sg,unamb,sg,Das Telegramm von der Sängerin ist bekannt.,bert,1.0660721,0.003281510844993743
19,unamb_sg_pl,sg,unamb,pl,Das Telegramm von der Sängerin sind bekannt.,bert,1.1030695,-0.010298410911200435
19,unamb_pl_sg,pl,unamb,sg,Das Telegramm von den Sängerinnen ist bekannt.,bert,1.0629754,0.004071806782528074
19,unamb_pl_pl,pl,unamb,pl,Das Telegramm von den Sängerinnen sind bekannt.,bert,1.1104378,-0.011804952580669957
20,amb_sg_sg,sg,amb,sg,Das Gerücht über die Kleinstadt ist bekannt.,bert,1.087601,-0.022216878979004845
20,amb_sg_pl,sg,amb,pl,Das Gerücht über die Kleinstadt sind bekannt.,bert,1.1117083,-0.0349754043826908
20,amb_pl_sg,pl,amb,sg,Das Gerücht über die Kleinstädte ist bekannt.,bert,0.9856922,-0.004768056382263488
20,amb_pl_pl,pl,amb,pl,Das Gerücht über die Kleinstädte sind bekannt.,bert,1.0272658,-0.0062542071926398254
20,unamb_sg_sg,sg,unamb,sg,Das Gerücht in der Kleinstadt ist bekannt.,bert,1.1031218,-0.011804392655034066
20,unamb_sg_pl,sg,unamb,pl,Das Gerücht in der Kleinstadt sind bekannt.,bert,1.1180644,-0.03240652552049085
20,unamb_pl_sg,pl,unamb,sg,Das Gerücht in den Kleinstädten ist bekannt.,bert,0.9943023,-0.004629889010485111
20,unamb_pl_pl,pl,unamb,pl,Das Gerücht in den Kleinstädten sind bekannt.,bert,1.034246,-0.006990113558053124
21,amb_sg_sg,sg,amb,sg,Das Geschenk für die Tante ist bekannt.,bert,1.0881298,0.007091755210787323
21,amb_sg_pl,sg,amb,pl,Das Geschenk für die Tante sind bekannt.,bert,1.094372,0.006368332084644705
21,amb_pl_sg,pl,amb,sg,Das Geschenk für die Tanten ist bekannt.,bert,1.0894873,0.0068406108505404024
21,amb_pl_pl,pl,amb,pl,Das Geschenk für die Tanten sind bekannt.,bert,1.0970106,0.0009421017823787042
21,unamb_sg_sg,sg,unamb,sg,Das Geschenk von der Tante ist bekannt.,bert,1.011431,0.014150057094281545
21,unamb_sg_pl,sg,unamb,pl,Das Geschenk von der Tante sind bekannt.,bert,1.0383265,0.015300221908258561
21,unamb_pl_sg,pl,unamb,sg,Das Geschenk von den Tanten ist bekannt.,bert,1.0025737,0.01599908913751592
21,unamb_pl_pl,pl,unamb,pl,Das Geschenk von den Tanten sind bekannt.,bert,1.05456,0.013321632168266082
22,amb_sg_sg,sg,amb,sg,Die Beratung über die Fabrik ist bekannt.,bert,1.1434376,0.004450409708450086
22,amb_sg_pl,sg,amb,pl,Die Beratung über die Fabrik sind bekannt.,bert,1.1482098,0.009235345534402091
22,amb_pl_sg,pl,amb,sg,Die Beratung über die Fabriken ist bekannt.,bert,1.1332366,0.00718452673348122
22,amb_pl_pl,pl,amb,pl,Die Beratung über die Fabriken sind bekannt.,bert,1.1522181,0.005894831456726261
22,unamb_sg_sg,sg,unamb,sg,Die Beratung in der Fabrik ist bekannt.,bert,1.0401291,0.0013836115895892176
22,unamb_sg_pl,sg,unamb,pl,Die Beratung in der Fabrik sind bekannt.,bert,1.0324185,-0.0025859213487144303
22,unamb_pl_sg,pl,unamb,sg,Die Beratung in den Fabriken ist bekannt.,bert,1.007151,0.001491782502808417
22,unamb_pl_pl,pl,unamb,pl,Die Beratung in den Fabriken sind bekannt.,bert,1.009086,-0.004496602285518878
23,amb_sg_sg,sg,amb,sg,Die Überweisung auf das Konto ist bekannt.,bert,1.0460455,0.013883013573906124
23,amb_sg_pl,sg,amb,pl,Die Überweisung auf das Konto sind bekannt.,bert,1.0624563,0.005391765126294926
23,amb_pl_sg,pl,amb,sg,Die Überweisung auf die Konten ist bekannt.,bert,1.0723056,0.00387957784790003
23,amb_pl_pl,pl,amb,pl,Die Überweisung auf die Konten sind bekannt.,bert,1.0804597,-0.01503236695732664
23,unamb_sg_sg,sg,unamb,sg,Die Überweisung von dem Konto ist bekannt.,bert,1.1035545,0.022208072766306007
23,unamb_sg_pl,sg,unamb,pl,Die Überweisung von dem Konto sind bekannt.,bert,1.0987269,0.015706430009510046
23,unamb_pl_sg,pl,unamb,sg,Die Überweisung von den Konten ist bekannt.,bert,1.0989742,0.01243012619774736
23,unamb_pl_pl,pl,unamb,pl,Die Überweisung von den Konten sind bekannt.,bert,1.0991722,-0.007446977244732179
24,amb_sg_sg,sg,amb,sg,Die Übersetzung in die Fremdsprache ist bekannt.,bert,1.0866764,-0.06994452581083083
24,amb_sg_pl,sg,amb,pl,Die Übersetzung in die Fremdsprache sind bekannt.,bert,1.1168617,-0.046185340859486335
24,amb_pl_sg,pl,amb,sg,Die Übersetzung in die Fremdsprachen ist bekannt.,bert,1.0438496,-0.040439125955060176
24,amb_pl_pl,pl,amb,pl,Die Übersetzung in die Fremdsprachen sind bekannt.,bert,1.0900478,-0.02863620966497514
24,unamb_sg_sg,sg,unamb,sg,Die Übersetzung aus der Fremdsprache ist bekannt.,bert,1.145459,-0.07303540302607768
24,unamb_sg_pl,sg,unamb,pl,Die Übersetzung aus der Fremdsprache sind bekannt.,bert,1.1691326,-0.043248186542438734
24,unamb_pl_sg,pl,unamb,sg,Die Übersetzung aus den Fremdsprachen ist bekannt.,bert,1.1213137,-0.03341062511396397
24,unamb_pl_pl,pl,unamb,pl,Die Übersetzung aus den Fremdsprachen sind bekannt.,bert,1.1507528,-0.023485859458144506
25,amb_sg_sg,sg,amb,sg,Die Stellungnahme gegen die Demonstration ist bekannt.,bert,1.0510734,0.0655895804064345
25,amb_sg_pl,sg,amb,pl,Die Stellungnahme gegen die Demonstration sind bekannt.,bert,1.0644691,0.05407165281957015
25,amb_pl_sg,pl,amb,sg,Die Stellungnahme gegen die Demonstrationen ist bekannt.,bert,1.0505385,0.0600341502749967
25,amb_pl_pl,pl,amb,pl,Die Stellungnahme gegen die Demonstrationen sind bekannt.,bert,1.0627826,0.04482293066218132
25,unamb_sg_sg,sg,unamb,sg,Die Stellungnahme zu der Demonstration ist bekannt.,bert,1.0351585,0.06895599489325158
25,unamb_sg_pl,sg,unamb,pl,Die Stellungnahme zu der Demonstration sind bekannt.,bert,1.0555968,0.059989268515039246
25,unamb_pl_sg,pl,unamb,sg,Die Stellungnahme zu den Demonstrationen ist bekannt.,bert,1.0314794,0.06103550045946339
25,unamb_pl_pl,pl,unamb,pl,Die Stellungnahme zu den Demonstrationen sind bekannt.,bert,1.0534503,0.04830241945702288
26,amb_sg_sg,sg,amb,sg,Die Unterhaltung über die Künstlerin ist bekannt.,bert,1.0550361,0.006882190769675611
26,amb_sg_pl,sg,amb,pl,Die Unterhaltung über die Künstlerin sind bekannt.,bert,1.0983545,0.006954553679995534
26,amb_pl_sg,pl,amb,sg,Die Unterhaltung über die Künstlerinnen ist bekannt.,bert,1.0550361,0.006882190769675611
26,amb_pl_pl,pl,amb,pl,Die Unterhaltung über die Künstlerinnen sind bekannt.,bert,1.0983545,0.006954553679995534
26,unamb_sg_sg,sg,unamb,sg,Die Unterhaltung mit der Künstlerin ist bekannt.,bert,1.0547156,0.010810232984401334
26,unamb_sg_pl,sg,unamb,pl,Die Unterhaltung mit der Künstlerin sind bekannt.,bert,1.0655704,0.00935683114452509
26,unamb_pl_sg,pl,unamb,sg,Die Unterhaltung mit den Künstlerinnen ist bekannt.,bert,1.0500045,0.010691208605260391
26,unamb_pl_pl,pl,unamb,pl,Die Unterhaltung mit den Künstlerinnen sind bekannt.,bert,1.0678194,0.008830844945236602
27,amb_sg_sg,sg,amb,sg,Die Verhandlung über die Schule ist bekannt.,bert,1.1330223,0.0231305907838786
27,amb_sg_pl,sg,amb,pl,Die Verhandlung über die Schule sind bekannt.,bert,1.1388011,0.02454363666103356
27,amb_pl_sg,pl,amb,sg,Die Verhandlung über die Schulen ist bekannt.,bert,1.140619,0.028551081901079512
27,amb_pl_pl,pl,amb,pl,Die Verhandlung über die Schulen sind bekannt.,bert,1.1569327,0.0210596387222129
27,unamb_sg_sg,sg,unamb,sg,Die Verhandlung mit der Schule ist bekannt.,bert,1.018041,0.03277122695695287
27,unamb_sg_pl,sg,unamb,pl,Die Verhandlung mit der Schule sind bekannt.,bert,1.004276,0.025909828159855177
27,unamb_pl_sg,pl,unamb,sg,Die Verhandlung mit den Schulen ist bekannt.,bert,1.0201358,0.03522585552178213
27,unamb_pl_pl,pl,unamb,pl,Die Verhandlung mit den Schulen sind bekannt.,bert,1.0199989,0.021814454210011134
28,amb_sg_sg,sg,amb,sg,Die Brücke über das Tal ist bekannt.,bert,1.0057709,0.016424102936952577
28,amb_sg_pl,sg,amb,pl,Die Brücke über das Tal sind bekannt.,bert,1.0375364,0.01646399310531296
28,amb_pl_sg,pl,amb,sg,Die Brücke über die Täler ist bekannt.,bert,0.98398197,-0.003844577346465084
28,amb_pl_pl,pl,amb,pl,Die Brücke über die Täler sind bekannt.,bert,1.0365269,-0.004519768921066709
28,unamb_sg_sg,sg,unamb,sg,Die Brücke bei dem Tal ist bekannt.,bert,1.064893,0.024664227665964246
28,unamb_sg_pl,sg,unamb,pl,Die Brücke bei dem Tal sind bekannt.,bert,1.0702212,0.024902559023510448
28,unamb_pl_sg,pl,unamb,sg,Die Brücke bei den Tälern ist bekannt.,bert,1.0588338,-0.0015162279161633069
28,unamb_pl_pl,pl,unamb,pl,Die Brücke bei den Tälern sind bekannt.,bert,1.0959742,-0.003143464357715564
