lg,item,syn,sentence,condition,headn,attn,verbn,model_type,attention_entropy,attention_diff
turkish,14,0,oyuncuların hemşiresi etrafta amaçsızca gezdi,condition_b,sg,pl,sg,bert,1.0122429,-0.02005754939968938
turkish,14,0,oyuncunun hemşiresi etrafta amaçsızca gezdiler,condition_c,sg,sg,pl,bert,1.0252167,-0.015439130161985302
turkish,14,0,oyuncunun hemşiresi etrafta amaçsızca gezdi,condition_d,sg,sg,sg,bert,1.016042,-0.01723945092744543
turkish,15,0,öğretmenlerin müdiresi biraz önce aradılar,condition_a,sg,pl,pl,bert,0.95605433,-0.007016032458705013
turkish,15,0,öğretmenlerin müdiresi biraz önce aradı,condition_b,sg,pl,sg,bert,0.82651126,-0.002396425524966616
turkish,15,0,öğretmenin müdiresi biraz önce aradılar,condition_c,sg,sg,pl,bert,0.93581265,-0.002653521259480842
turkish,15,0,öğretmenin müdiresi biraz önce aradı,condition_d,sg,sg,sg,bert,0.81766605,0.0006582315778359757
turkish,16,0,milyonerlerin terzisi tamamen gereksizce bağırdılar,condition_a,sg,pl,pl,bert,0.93705165,-0.0071564500707410154
turkish,16,0,milyonerlerin terzisi tamamen gereksizce bağırdı,condition_b,sg,pl,sg,bert,0.9130618,-0.0072110923401652385
turkish,16,0,milyonerin terzisi tamamen gereksizce bağırdılar,condition_c,sg,sg,pl,bert,0.897491,0.007975485827674333
turkish,16,0,milyonerin terzisi tamamen gereksizce bağırdı,condition_d,sg,sg,sg,bert,0.9009018,0.0037764368702283974
turkish,17,0,bebeklerin bakıcısı çok kibar davrandılar,condition_a,sg,pl,pl,bert,0.9146652,-0.02291572415362424
turkish,17,0,bebeklerin bakıcısı çok kibar davrandı,condition_b,sg,pl,sg,bert,0.888117,-0.026143727652657843
turkish,17,0,bebeğin bakıcısı çok kibar davrandılar,condition_c,sg,sg,pl,bert,0.9065443,-0.027764123326912228
turkish,17,0,bebeğin bakıcısı çok kibar davrandı,condition_d,sg,sg,sg,bert,0.87964934,-0.030759374720423692
turkish,18,0,çocukların dadısı yüksek sesle konuştular,condition_a,sg,pl,pl,bert,1.0256262,0.015840183217051163
turkish,18,0,çocukların dadısı yüksek sesle konuştu,condition_b,sg,pl,sg,bert,0.9151365,-0.00020342255193100262
turkish,18,0,çocuğun dadısı yüksek sesle konuştular,condition_c,sg,sg,pl,bert,1.0371368,0.015054914404277042
turkish,18,0,çocuğun dadısı yüksek sesle konuştu,condition_d,sg,sg,sg,bert,0.93771017,-0.002987605362795874
turkish,19,0,futbolcuların sürücüsü çok yavaş çalıştılar,condition_a,sg,pl,pl,bert,0.8029091,-0.015270811783065597
turkish,19,0,futbolcuların sürücüsü çok yavaş çalıştı,condition_b,sg,pl,sg,bert,0.78150046,-0.007555346352120296
turkish,19,0,futbolcunun sürücüsü çok yavaş çalıştılar,condition_c,sg,sg,pl,bert,0.81697273,-0.01067712586563161
turkish,19,0,futbolcunun sürücüsü çok yavaş çalıştı,condition_d,sg,sg,sg,bert,0.7834597,-0.009244681956423051
turkish,20,0,modacıların taksicisi saatlerce durmaksızın içtiler,condition_a,sg,pl,pl,bert,0.9297396,-0.0378371855992782
turkish,20,0,modacıların taksicisi saatlerce durmaksızın içti,condition_b,sg,pl,sg,bert,0.9218403,-0.030345672406019732
turkish,20,0,modacının taksicisi saatlerce durmaksızın içtiler,condition_c,sg,sg,pl,bert,0.9344355,-0.03686854364441387
turkish,20,0,modacının taksicisi saatlerce durmaksızın içti,condition_d,sg,sg,sg,bert,0.93599623,-0.031241023742995824
turkish,21,0,sanatçıların çalgıcısı feci bir şekilde öldüler,condition_a,sg,pl,pl,bert,1.0545763,-0.0010923195293075921
turkish,21,0,sanatçıların çalgıcısı feci bir şekilde öldü,condition_b,sg,pl,sg,bert,1.0297568,0.001672537336223811
turkish,21,0,sanatçının çalgıcısı feci bir şekilde öldüler,condition_c,sg,sg,pl,bert,1.058146,0.0030415943402701366
turkish,21,0,sanatçının çalgıcısı feci bir şekilde öldü,condition_d,sg,sg,sg,bert,1.0196636,0.006386512576048631
turkish,22,0,dedektiflerin dişçisi ilk kez çılgınca eğlendiler,condition_a,sg,pl,pl,bert,0.9972521,-0.004072851484308138
turkish,22,0,dedektiflerin dişçisi ilk kez çılgınca eğlendi,condition_b,sg,pl,sg,bert,0.9939529,-0.0051380598003977
turkish,22,0,dedektifin dişçisi ilk kez çılgınca eğlendiler,condition_c,sg,sg,pl,bert,0.99005204,-0.00529070795389228
turkish,22,0,dedektifin dişçisi ilk kez çılgınca eğlendi,condition_d,sg,sg,sg,bert,0.9859689,-0.006620846802779457
turkish,23,0,esnafların müşterisi şikayettten hemen sonra sustular,condition_a,sg,pl,pl,bert,1.0750567,-0.011794131991518953
turkish,23,0,esnafların müşterisi şikayettten hemen sonra sustu,condition_b,sg,pl,sg,bert,1.0465271,-0.012238519071183875
turkish,23,0,esnafın müşterisi şikayettten hemen sonra sustular,condition_c,sg,sg,pl,bert,1.0799166,-0.01724254017321982
turkish,23,0,esnafın müşterisi şikayettten hemen sonra sustu,condition_d,sg,sg,sg,bert,1.0568578,-0.015696128135974163
turkish,24,0,şarkıcıların koruması her zamanki gibi geciktiler,condition_a,sg,pl,pl,bert,1.0605402,-0.032554631829198044
turkish,24,0,şarkıcıların koruması her zamanki gibi gecikti,condition_b,sg,pl,sg,bert,1.0375289,-0.0304678963603596
turkish,24,0,şarkıcının koruması her zamanki gibi geciktiler,condition_c,sg,sg,pl,bert,1.0473485,-0.032778954410614604
turkish,24,0,şarkıcının koruması her zamanki gibi gecikti,condition_d,sg,sg,sg,bert,1.0312726,-0.030797341376622708
turkish,25,0,göstericilerin izleyicisi akşama kadar sessizce oturdular,condition_a,sg,pl,pl,bert,1.0652514,-0.0008296969193907003
turkish,25,0,göstericilerin izleyicisi akşama kadar sessizce oturdu,condition_b,sg,pl,sg,bert,0.9808084,-0.0030297595058073057
turkish,25,0,göstericinin izleyicisi akşama kadar sessizce oturdular,condition_c,sg,sg,pl,bert,1.0844512,-0.007101084759051447
turkish,25,0,göstericinin izleyicisi akşama kadar sessizce oturdu,condition_d,sg,sg,sg,bert,0.99322593,-0.009202454962724007
turkish,26,0,cerrahların hastası akşamki gösteriden önce kaçtılar,condition_a,sg,pl,pl,bert,1.0527686,-0.001617648393417024
turkish,26,0,cerrahların hastası akşamki gösteriden önce kaçtı,condition_b,sg,pl,sg,bert,1.0189639,-0.0041851182240717905
turkish,26,0,cerrahın hastası akşamki gösteriden önce kaçtılar,condition_c,sg,sg,pl,bert,1.060304,-0.008115257534436537
turkish,26,0,cerrahın hastası akşamki gösteriden önce kaçtı,condition_d,sg,sg,sg,bert,1.0278208,-0.010002238277409963
turkish,27,0,dalgıçların annesi bile bile geç kaldılar,condition_a,sg,pl,pl,bert,0.9043479,-0.01316211600033057
turkish,27,0,dalgıçların annesi bile bile geç kaldı,condition_b,sg,pl,sg,bert,0.92808723,-0.003967919661226914
turkish,27,0,dalgıcın annesi bile bile geç kaldılar,condition_c,sg,sg,pl,bert,0.86627614,-0.0174816326144537
turkish,27,0,dalgıcın annesi bile bile geç kaldı,condition_d,sg,sg,sg,bert,0.8942564,-0.012390481822876609
turkish,28,0,fabrikatörlerin işçisi beklenmedik bir anda hastalandılar,condition_a,sg,pl,pl,bert,1.1683066,-0.010328955560999019
turkish,28,0,fabrikatörlerin işçisi beklenmedik bir anda hastalandı,condition_b,sg,pl,sg,bert,1.1313156,-0.012594436361177942
turkish,28,0,fabrikatörün işçisi beklenmedik bir anda hastalandılar,condition_c,sg,sg,pl,bert,1.1910615,-0.013815935572210947
turkish,28,0,fabrikatörün işçisi beklenmedik bir anda hastalandı,condition_d,sg,sg,sg,bert,1.1472336,-0.016138216188551272
turkish,29,0,komedyenlerin yardımcısı poyrazdan dolayı üşüdüler,condition_a,sg,pl,pl,bert,1.0260587,-0.03818352190345375
turkish,29,0,komedyenlerin yardımcısı poyrazdan dolayı üşüdü,condition_b,sg,pl,sg,bert,1.105205,-0.033523188443862754
turkish,29,0,komedyenin yardımcısı poyrazdan dolayı üşüdüler,condition_c,sg,sg,pl,bert,1.0152261,-0.028767286718208614
turkish,29,0,komedyenin yardımcısı poyrazdan dolayı üşüdü,condition_d,sg,sg,sg,bert,1.0901972,-0.0329445670702114
turkish,30,0,şoförlerin yolcusu yemekten sonra yine acıktılar,condition_a,sg,pl,pl,bert,1.0191346,-0.004816415584264178
turkish,30,0,şoförlerin yolcusu yemekten sonra yine acıktı,condition_b,sg,pl,sg,bert,1.0339546,-0.00478418615166447
turkish,30,0,şoförün yolcusu yemekten sonra yine acıktılar,condition_c,sg,sg,pl,bert,1.0101141,-0.0064658395580408975
turkish,30,0,şoförün yolcusu yemekten sonra yine acıktı,condition_d,sg,sg,sg,bert,1.028372,-0.0059830102956766485
turkish,31,0,mühendislerin kapıcısı erken ödemeden dolayı sevindiler,condition_a,sg,pl,pl,bert,0.9547308,-0.004087209848034946
turkish,31,0,mühendislerin kapıcısı erken ödemeden dolayı sevindi,condition_b,sg,pl,sg,bert,0.9493364,-0.005587390156961192
turkish,31,0,mühendisin kapıcısı erken ödemeden dolayı sevindiler,condition_c,sg,sg,pl,bert,0.94740856,-0.006366943337822305
turkish,31,0,mühendisin kapıcısı erken ödemeden dolayı sevindi,condition_d,sg,sg,sg,bert,0.9355011,-0.007154222885482396
turkish,32,0,pazarcıların nakliyecisi mesaiden hemen sonra uzandılar,condition_a,sg,pl,pl,bert,1.1973989,-0.01092930715218117
turkish,32,0,pazarcıların nakliyecisi mesaiden hemen sonra uzandı,condition_b,sg,pl,sg,bert,1.1921533,-0.010349432682584592
turkish,32,0,pazarcının nakliyecisi mesaiden hemen sonra uzandılar,condition_c,sg,sg,pl,bert,1.2017243,-0.011371461423576076
turkish,32,0,pazarcının nakliyecisi mesaiden hemen sonra uzandı,condition_d,sg,sg,sg,bert,1.1978486,-0.010763702797940766
turkish,33,0,oyuncuların eğitimcisi ilk denemede epey zorlandılar,condition_a,sg,pl,pl,bert,0.9812973,-0.022084101568179908
turkish,33,0,oyuncuların eğitimcisi ilk denemede epey zorlandı,condition_b,sg,pl,sg,bert,0.98971593,-0.02547730265937389
turkish,33,0,oyuncunun eğitimcisi ilk denemede epey zorlandılar,condition_c,sg,sg,pl,bert,0.9477666,-0.00787990733465449
turkish,33,0,oyuncunun eğitimcisi ilk denemede epey zorlandı,condition_d,sg,sg,sg,bert,0.95148677,-0.009010336621759051
turkish,34,0,mankenlerin modacısı geç bir vakitte kalktılar,condition_a,sg,pl,pl,bert,1.0519917,-0.001774790397877101
turkish,34,0,mankenlerin modacısı geç bir vakitte kalktı,condition_b,sg,pl,sg,bert,1.0075015,-0.0031827537304921875
turkish,34,0,mankenin modacısı geç bir vakitte kalktılar,condition_c,sg,sg,pl,bert,1.0610459,-0.0029161615974661933
turkish,34,0,mankenin modacısı geç bir vakitte kalktı,condition_d,sg,sg,sg,bert,1.021412,-0.004030973111789548
turkish,35,0,konukların teyzesi müthiş bir ağrıyla uyandılar,condition_a,sg,pl,pl,bert,1.0404137,-0.0075906311256062516
turkish,35,0,konukların teyzesi müthiş bir ağrıyla uyandı,condition_b,sg,pl,sg,bert,1.0472484,-0.006850385022346472
turkish,35,0,konuğun teyzesi müthiş bir ağrıyla uyandılar,condition_c,sg,sg,pl,bert,1.0509188,-0.013790861662891982
turkish,35,0,konuğun teyzesi müthiş bir ağrıyla uyandı,condition_d,sg,sg,sg,bert,1.0507021,-0.011753985942141297
turkish,36,0,oğlanların amcası boş bir caddede yürüdüler,condition_a,sg,pl,pl,bert,1.1703818,-0.016214320429116923
turkish,36,0,oğlanların amcası boş bir caddede yürüdü,condition_b,sg,pl,sg,bert,1.1163576,-0.01784060246845911
turkish,36,0,oğlanın amcası boş bir caddede yürüdüler,condition_c,sg,sg,pl,bert,1.1754538,-0.014724920191474668
turkish,36,0,oğlanın amcası boş bir caddede yürüdü,condition_d,sg,sg,sg,bert,1.1146083,-0.015447724935484073
turkish,37,0,avukatların komşusu toplantıdan sonra birden sarardılar,condition_a,sg,pl,pl,bert,0.94741267,-0.011993791218810656
turkish,37,0,avukatların komşusu toplantıdan sonra birden sarardı,condition_b,sg,pl,sg,bert,0.94908637,-0.010933942132305674
turkish,37,0,avukatın komşusu toplantıdan sonra birden sarardılar,condition_c,sg,sg,pl,bert,0.9755861,-0.015441431164617825
turkish,37,0,avukatın komşusu toplantıdan sonra birden sarardı,condition_d,sg,sg,sg,bert,0.98251027,-0.014736223486943346
turkish,38,0,ünlülerin falcısı yabancı bir ülkede kayboldular,condition_a,sg,pl,pl,bert,1.0540649,0.008280286127990165
turkish,38,0,ünlülerin falcısı yabancı bir ülkede kayboldu,condition_b,sg,pl,sg,bert,0.980285,0.006532028644929258
turkish,38,0,ünlünün falcısı yabancı bir ülkede kayboldular,condition_c,sg,sg,pl,bert,1.0789988,0.00036230872981377407
turkish,38,0,ünlünün falcısı yabancı bir ülkede kayboldu,condition_d,sg,sg,sg,bert,1.0074301,-0.0016288712387449757
turkish,39,0,çiftçilerin bekçisi normalden çok yavaş gezindiler,condition_a,sg,pl,pl,bert,0.8954997,-0.0024140465256664353
turkish,39,0,çiftçilerin bekçisi normalden çok yavaş gezindi,condition_b,sg,pl,sg,bert,0.90228844,-0.0029063954979193334
turkish,39,0,çiftçinin bekçisi normalden çok yavaş gezindiler,condition_c,sg,sg,pl,bert,0.91424257,-0.004266470505319831
turkish,39,0,çiftçinin bekçisi normalden çok yavaş gezindi,condition_d,sg,sg,sg,bert,0.92429894,-0.0051232240427324886
turkish,40,0,kadınların ninesi geçen seneye göre dinçleştiler,condition_a,sg,pl,pl,bert,1.0536098,0.0028660012547599752
turkish,40,0,kadınların ninesi geçen seneye göre dinçleşti,condition_b,sg,pl,sg,bert,0.9633811,0.003470998690536218
turkish,40,0,kadının ninesi geçen seneye göre dinçleştiler,condition_c,sg,sg,pl,bert,1.0473096,0.0009240411316386865
turkish,40,0,kadının ninesi geçen seneye göre dinçleşti,condition_d,sg,sg,sg,bert,0.95399666,0.002549936421426934
turkish,1,1,Şarkıcıların vokalisti sahnede sürekli zıpladılar,condition_a,sg,pl,pl,bert,0.9784015,-0.015489638722885956
turkish,1,1,Şarkıcıların vokalisti sahnede sürekli zıpladı,condition_b,sg,pl,sg,bert,0.9834911,-0.018025302758144332
turkish,1,1,Şarkıcının vokalisti sahnede sürekli zıpladılar,condition_c,sg,sg,pl,bert,0.9672023,-0.011594845296269796
turkish,1,1,Şarkıcının vokalisti sahnede sürekli zıpladı,condition_d,sg,sg,sg,bert,0.98394376,-0.015148407979404512
turkish,2,1,Öğrencilerin danışmanı sınıfta birden bayıldılar,condition_a,sg,pl,pl,bert,0.93559825,-0.0034052973932041184
turkish,2,1,Öğrencilerin danışmanı sınıfta birden bayıldı,condition_b,sg,pl,sg,bert,0.8286519,-0.004931141202336065
turkish,2,1,Öğrencinin danışmanı sınıfta birden bayıldılar,condition_c,sg,sg,pl,bert,0.9479562,-0.010144521181339244
turkish,2,1,Öğrencinin danışmanı sınıfta birden bayıldı,condition_d,sg,sg,sg,bert,0.84631366,-0.010009905625889104
turkish,3,1,Ressamların rakibi atölyeden hızla uzaklaştılar,condition_a,sg,pl,pl,bert,1.0088353,-0.025854790377923643
turkish,3,1,Ressamların rakibi atölyeden hızla uzaklaştı,condition_b,sg,pl,sg,bert,0.997149,-0.02053980232826014
turkish,3,1,Ressamın rakibi atölyeden hızla uzaklaştılar,condition_c,sg,sg,pl,bert,1.0216618,-0.026240843087818884
turkish,3,1,Ressamın rakibi atölyeden hızla uzaklaştı,condition_d,sg,sg,sg,bert,1.0251622,-0.02518474993139108
turkish,4,1,Subayların düşmanı aniden küstahça güldülar,condition_a,sg,pl,pl,bert,0.9131197,-0.01962390517116243
turkish,4,1,Subayların düşmanı aniden küstahça güldü,condition_b,sg,pl,sg,bert,0.8900672,-0.012188958879414714
turkish,4,1,Subayın düşmanı aniden küstahça güldülar,condition_c,sg,sg,pl,bert,0.868492,-0.014430426868558874
turkish,4,1,Subayın düşmanı aniden küstahça güldü,condition_d,sg,sg,sg,bert,0.90671015,-0.015478293683747781
turkish,5,1,Müzisyenlerin hayranı sabaha kadar ağladılar,condition_a,sg,pl,pl,bert,0.9995537,-0.022297718234838726
turkish,5,1,Müzisyenlerin hayranı sabaha kadar ağladı,condition_b,sg,pl,sg,bert,0.97302115,-0.02260836618847861
turkish,5,1,Müzisyenin hayranı sabaha kadar ağladılar,condition_c,sg,sg,pl,bert,0.97730255,-0.02344830029029481
turkish,5,1,Müzisyenin hayranı sabaha kadar ağladı,condition_d,sg,sg,sg,bert,0.9558898,-0.0226527927874713
turkish,6,1,Borsacıların çalışanı arada sırada sıkıldılar,condition_a,sg,pl,pl,bert,0.92378587,-0.008812416264409546
turkish,6,1,Borsacıların çalışanı arada sırada sıkıldı,condition_b,sg,pl,sg,bert,0.9313691,-0.011604518322333373
turkish,6,1,Borsacının çalışanı arada sırada sıkıldılar,condition_c,sg,sg,pl,bert,0.92585135,-0.010763799949519655
turkish,6,1,Borsacının çalışanı arada sırada sıkıldı,condition_d,sg,sg,sg,bert,0.92244035,-0.013160929122548678
turkish,7,1,Profesörlerin sekreteri günden güne zayıfladılar,condition_a,sg,pl,pl,bert,0.8441037,-0.0053671745060910325
turkish,7,1,Profesörlerin sekreteri günden güne zayıfladı,condition_b,sg,pl,sg,bert,0.8332413,-0.0005541368834201428
turkish,7,1,Profesörün sekreteri günden güne zayıfladılar,condition_c,sg,sg,pl,bert,0.845486,-0.002761056026793083
turkish,7,1,Profesörün sekreteri günden güne zayıfladı,condition_d,sg,sg,sg,bert,0.83929825,-0.0012127140075790521
turkish,8,1,Veterinerlerin asistanı geceden önce uyudular,condition_a,sg,pl,pl,bert,1.0056685,-0.004884469716421334
turkish,8,1,Veterinerlerin asistanı geceden önce uyudu,condition_b,sg,pl,sg,bert,0.9852066,-0.004370773294613172
turkish,8,1,Veterinerin asistanı geceden önce uyudular,condition_c,sg,sg,pl,bert,1.0116503,-0.0023775758426381813
turkish,8,1,Veterinerin asistanı geceden önce uyudu,condition_d,sg,sg,sg,bert,0.9750147,-0.0020484478807702537
turkish,9,1,Yönetmenlerin masörü yorgun argın yattılar,condition_a,sg,pl,pl,bert,0.9352177,-0.019173613046897665
turkish,9,1,Yönetmenlerin masörü yorgun argın yattı,condition_b,sg,pl,sg,bert,0.9315074,-0.014903713734248036
turkish,9,1,Yönetmenin masörü yorgun argın yattılar,condition_c,sg,sg,pl,bert,0.9730595,-0.019742206024555738
turkish,9,1,Yönetmenin masörü yorgun argın yattı,condition_d,sg,sg,sg,bert,0.97839594,-0.01826912661388142
turkish,10,1,Teknisyenlerin eğitmeni olağanüstü hızlı koştular,condition_a,sg,pl,pl,bert,0.95953166,-0.012118207728235575
turkish,10,1,Teknisyenlerin eğitmeni olağanüstü hızlı koştu,condition_b,sg,pl,sg,bert,0.9470123,-0.01200513677786148
turkish,10,1,Teknisyenin eğitmeni olağanüstü hızlı koştular,condition_c,sg,sg,pl,bert,0.95373696,-0.008729372768732445
turkish,10,1,Teknisyenin eğitmeni olağanüstü hızlı koştu,condition_d,sg,sg,sg,bert,0.95257217,-0.010748235117694096
turkish,11,1,Turistlerin rehberi aç susuz dolaştılar,condition_a,sg,pl,pl,bert,0.88239956,-0.022197592109401396
turkish,11,1,Turistlerin rehberi aç susuz dolaştı,condition_b,sg,pl,sg,bert,0.8842797,-0.022245722388528576
turkish,11,1,Turistin rehberi aç susuz dolaştılar,condition_c,sg,sg,pl,bert,0.8744155,-0.0159239151448233
turkish,11,1,Turistin rehberi aç susuz dolaştı,condition_d,sg,sg,sg,bert,0.88633645,-0.016488110124760168
turkish,12,1,Zanlıların şahidi adliyeden çabucak çıktılar,condition_a,sg,pl,pl,bert,0.8825077,-0.011723670560786558
turkish,12,1,Zanlıların şahidi adliyeden çabucak çıktı,condition_b,sg,pl,sg,bert,0.8730877,-0.009447025502595352
turkish,12,1,Zanlının şahidi adliyeden çabucak çıktılar,condition_c,sg,sg,pl,bert,0.87160796,-0.013330982198021958
turkish,12,1,Zanlının şahidi adliyeden çabucak çıktı,condition_d,sg,sg,sg,bert,0.85473,-0.0105074874820275
turkish,13,1,Bursiyerlerin kefili nedensiz yere kızdılar,condition_a,sg,pl,pl,bert,0.9675792,-0.02254487727864216
turkish,13,1,Bursiyerlerin kefili nedensiz yere kızdı,condition_b,sg,pl,sg,bert,0.9643633,-0.018305562007640223
turkish,13,1,Bursiyerin kefili nedensiz yere kızdılar,condition_c,sg,sg,pl,bert,0.95165634,-0.021207684579189846
turkish,13,1,Bursiyerin kefili nedensiz yere kızdı,condition_d,sg,sg,sg,bert,0.9502444,-0.018088016834872177
turkish,14,1,Futbolcuların kaptanı etrafta amaçsızca gezdilar,condition_a,sg,pl,pl,bert,0.97918904,-0.016427509812977328
