item,condition,attractor,case,verb,sentence,model_type,surprisal
5,amb_sg_pl,sg,amb,pl,Der Hilferuf für die Polizeizentrale sind bekannt.,bert,6.081007957458496
5,amb_pl_sg,pl,amb,sg,Der Hilferuf für die Polizeizentralen ist bekannt.,bert,2.6035046577453613
5,amb_pl_pl,pl,amb,pl,Der Hilferuf für die Polizeizentralen sind bekannt.,bert,1.0167994499206543
5,unamb_sg_sg,sg,unamb,sg,Der Hilferuf in der Polizeizentrale ist bekannt.,bert,0.8840281963348389
5,unamb_sg_pl,sg,unamb,pl,Der Hilferuf in der Polizeizentrale sind bekannt.,bert,8.922510147094727
5,unamb_pl_sg,pl,unamb,sg,Der Hilferuf in den Polizeizentralen ist bekannt.,bert,0.8048896789550781
5,unamb_pl_pl,pl,unamb,pl,Der Hilferuf in den Polizeizentralen sind bekannt.,bert,8.770604133605957
6,amb_sg_sg,sg,amb,sg,Der Brief an die Mutter ist bekannt.,bert,1.2266379594802856
6,amb_sg_pl,sg,amb,pl,Der Brief an die Mutter sind bekannt.,bert,8.600234985351562
6,amb_pl_sg,pl,amb,sg,Der Brief an die Mütter ist bekannt.,bert,1.0388553142547607
6,amb_pl_pl,pl,amb,pl,Der Brief an die Mütter sind bekannt.,bert,6.97634220123291
6,unamb_sg_sg,sg,unamb,sg,Der Brief von der Mutter ist bekannt.,bert,0.854323148727417
6,unamb_sg_pl,sg,unamb,pl,Der Brief von der Mutter sind bekannt.,bert,8.390340805053711
6,unamb_pl_sg,pl,unamb,sg,Der Brief von den Müttern ist bekannt.,bert,0.7333008050918579
6,unamb_pl_pl,pl,unamb,pl,Der Brief von den Müttern sind bekannt.,bert,5.320947170257568
7,amb_sg_sg,sg,amb,sg,Der Einbruch in die Bank ist bekannt.,bert,0.8901482820510864
7,amb_sg_pl,sg,amb,pl,Der Einbruch in die Bank sind bekannt.,bert,8.863251686096191
7,amb_pl_sg,pl,amb,sg,Der Einbruch in die Banken ist bekannt.,bert,0.6289525628089905
7,amb_pl_pl,pl,amb,pl,Der Einbruch in die Banken sind bekannt.,bert,8.47217082977295
7,unamb_sg_sg,sg,unamb,sg,Der Einbruch bei der Bank ist bekannt.,bert,0.9395990371704102
7,unamb_sg_pl,sg,unamb,pl,Der Einbruch bei der Bank sind bekannt.,bert,9.066995620727539
7,unamb_pl_sg,pl,unamb,sg,Der Einbruch bei den Banken ist bekannt.,bert,0.6566652059555054
7,unamb_pl_pl,pl,unamb,pl,Der Einbruch bei den Banken sind bekannt.,bert,8.894135475158691
8,amb_sg_sg,sg,amb,sg,Der Ratschlag für die Hausfrau ist bekannt.,bert,0.3262830078601837
8,amb_sg_pl,sg,amb,pl,Der Ratschlag für die Hausfrau sind bekannt.,bert,5.5291619300842285
8,amb_pl_sg,pl,amb,sg,Der Ratschlag für die Hausfrauen ist bekannt.,bert,1.025834083557129
8,amb_pl_pl,pl,amb,pl,Der Ratschlag für die Hausfrauen sind bekannt.,bert,1.1064281463623047
8,unamb_sg_sg,sg,unamb,sg,Der Ratschlag von der Hausfrau ist bekannt.,bert,0.5350514054298401
8,unamb_sg_pl,sg,unamb,pl,Der Ratschlag von der Hausfrau sind bekannt.,bert,6.658276557922363
8,unamb_pl_sg,pl,unamb,sg,Der Ratschlag von den Hausfrauen ist bekannt.,bert,0.4924023747444153
8,unamb_pl_pl,pl,unamb,pl,Der Ratschlag von den Hausfrauen sind bekannt.,bert,6.938440799713135
9,amb_sg_sg,sg,amb,sg,Der Angriff auf die Industriestadt ist bekannt.,bert,0.8557823896408081
9,amb_sg_pl,sg,amb,pl,Der Angriff auf die Industriestadt sind bekannt.,bert,9.077899932861328
9,amb_pl_sg,pl,amb,sg,Der Angriff auf die Industriestädte ist bekannt.,bert,0.6011828184127808
9,amb_pl_pl,pl,amb,pl,Der Angriff auf die Industriestädte sind bekannt.,bert,6.922185897827148
9,unamb_sg_sg,sg,unamb,sg,Der Angriff bei der Industriestadt ist bekannt.,bert,0.8681574463844299
9,unamb_sg_pl,sg,unamb,pl,Der Angriff bei der Industriestadt sind bekannt.,bert,8.720954895019531
9,unamb_pl_sg,pl,unamb,sg,Der Angriff bei den Industriestädten ist bekannt.,bert,0.7179340720176697
9,unamb_pl_pl,pl,unamb,pl,Der Angriff bei den Industriestädten sind bekannt.,bert,5.753779888153076
10,amb_sg_sg,sg,amb,sg,Der Bericht über das Fussballspiel ist bekannt.,bert,0.9803964495658875
10,amb_sg_pl,sg,amb,pl,Der Bericht über das Fussballspiel sind bekannt.,bert,6.380999565124512
10,amb_pl_sg,pl,amb,sg,Der Bericht über die Fussballspiele ist bekannt.,bert,0.8057737946510315
10,amb_pl_pl,pl,amb,pl,Der Bericht über die Fussballspiele sind bekannt.,bert,3.558995246887207
10,unamb_sg_sg,sg,unamb,sg,Der Bericht nach dem Fussballspiel ist bekannt.,bert,1.4230183362960815
10,unamb_sg_pl,sg,unamb,pl,Der Bericht nach dem Fussballspiel sind bekannt.,bert,9.651299476623535
10,unamb_pl_sg,pl,unamb,sg,Der Bericht nach den Fussballspielen ist bekannt.,bert,1.1619707345962524
10,unamb_pl_pl,pl,unamb,pl,Der Bericht nach den Fussballspielen sind bekannt.,bert,9.009964942932129
11,amb_sg_sg,sg,amb,sg,Der Aufstand gegen das Nachbarland ist bekannt.,bert,1.1701135635375977
11,amb_sg_pl,sg,amb,pl,Der Aufstand gegen das Nachbarland sind bekannt.,bert,9.309163093566895
11,amb_pl_sg,pl,amb,sg,Der Aufstand gegen die Nachbarländer ist bekannt.,bert,1.4276329278945923
11,amb_pl_pl,pl,amb,pl,Der Aufstand gegen die Nachbarländer sind bekannt.,bert,7.638064384460449
11,unamb_sg_sg,sg,unamb,sg,Der Aufstand in dem Nachbarland ist bekannt.,bert,0.8889440894126892
11,unamb_sg_pl,sg,unamb,pl,Der Aufstand in dem Nachbarland sind bekannt.,bert,9.79121208190918
11,unamb_pl_sg,pl,unamb,sg,Der Aufstand in den Nachbarländern ist bekannt.,bert,0.7649737596511841
11,unamb_pl_pl,pl,unamb,pl,Der Aufstand in den Nachbarländern sind bekannt.,bert,6.1510772705078125
12,amb_sg_sg,sg,amb,sg,Der Aufsatz für das Wochenblatt ist bekannt.,bert,1.8484307527542114
12,amb_sg_pl,sg,amb,pl,Der Aufsatz für das Wochenblatt sind bekannt.,bert,6.319919109344482
12,amb_pl_sg,pl,amb,sg,Der Aufsatz für die Wochenblätter ist bekannt.,bert,0.44943004846572876
12,amb_pl_pl,pl,amb,pl,Der Aufsatz für die Wochenblätter sind bekannt.,bert,7.526014804840088
12,unamb_sg_sg,sg,unamb,sg,Der Aufsatz in dem Wochenblatt ist bekannt.,bert,1.0877127647399902
12,unamb_sg_pl,sg,unamb,pl,Der Aufsatz in dem Wochenblatt sind bekannt.,bert,8.376262664794922
12,unamb_pl_sg,pl,unamb,sg,Der Aufsatz in den Wochenblättern ist bekannt.,bert,0.9217212200164795
12,unamb_pl_pl,pl,unamb,pl,Der Aufsatz in den Wochenblättern sind bekannt.,bert,4.780832290649414
13,amb_sg_sg,sg,amb,sg,Der Bericht über die Ärztin ist bekannt.,bert,1.1073837280273438
13,amb_sg_pl,sg,amb,pl,Der Bericht über die Ärztin sind bekannt.,bert,6.645172119140625
13,amb_pl_sg,pl,amb,sg,Der Bericht über die Ärztinnen ist bekannt.,bert,1.1073837280273438
13,amb_pl_pl,pl,amb,pl,Der Bericht über die Ärztinnen sind bekannt.,bert,6.645172119140625
13,unamb_sg_sg,sg,unamb,sg,Der Bericht von der Ärztin ist bekannt.,bert,1.9584977626800537
13,unamb_sg_pl,sg,unamb,pl,Der Bericht von der Ärztin sind bekannt.,bert,9.429474830627441
13,unamb_pl_sg,pl,unamb,sg,Der Bericht von den Ärztinnen ist bekannt.,bert,1.5223791599273682
13,unamb_pl_pl,pl,unamb,pl,Der Bericht von den Ärztinnen sind bekannt.,bert,7.148504257202148
14,amb_sg_sg,sg,amb,sg,Der Verweis auf die Akte ist bekannt.,bert,0.8336994051933289
14,amb_sg_pl,sg,amb,pl,Der Verweis auf die Akte sind bekannt.,bert,9.445478439331055
14,amb_pl_sg,pl,amb,sg,Der Verweis auf die Akten ist bekannt.,bert,0.7745652198791504
14,amb_pl_pl,pl,amb,pl,Der Verweis auf die Akten sind bekannt.,bert,8.871698379516602
14,unamb_sg_sg,sg,unamb,sg,Der Verweis in der Akte ist bekannt.,bert,0.4401102364063263
14,unamb_sg_pl,sg,unamb,pl,Der Verweis in der Akte sind bekannt.,bert,8.147599220275879
14,unamb_pl_sg,pl,unamb,sg,Der Verweis in den Akten ist bekannt.,bert,0.4498673379421234
14,unamb_pl_pl,pl,unamb,pl,Der Verweis in den Akten sind bekannt.,bert,8.709952354431152
15,amb_sg_sg,sg,amb,sg,Der Kredit für die Grossbank ist bekannt.,bert,1.2189890146255493
15,amb_sg_pl,sg,amb,pl,Der Kredit für die Grossbank sind bekannt.,bert,5.965086936950684
15,amb_pl_sg,pl,amb,sg,Der Kredit für die Grossbanken ist bekannt.,bert,2.3810548782348633
15,amb_pl_pl,pl,amb,pl,Der Kredit für die Grossbanken sind bekannt.,bert,1.2418385744094849
15,unamb_sg_sg,sg,unamb,sg,Der Kredit von der Grossbank ist bekannt.,bert,2.031278371810913
15,unamb_sg_pl,sg,unamb,pl,Der Kredit von der Grossbank sind bekannt.,bert,9.174954414367676
15,unamb_pl_sg,pl,unamb,sg,Der Kredit von den Grossbanken ist bekannt.,bert,1.4972875118255615
15,unamb_pl_pl,pl,unamb,pl,Der Kredit von den Grossbanken sind bekannt.,bert,9.131807327270508
16,amb_sg_sg,sg,amb,sg,Das Gespräch über das Mädchen ist bekannt.,bert,1.0073153972625732
16,amb_sg_pl,sg,amb,pl,Das Gespräch über das Mädchen sind bekannt.,bert,4.8807373046875
16,amb_pl_sg,pl,amb,sg,Das Gespräch über die Mädchen ist bekannt.,bert,1.2423408031463623
16,amb_pl_pl,pl,amb,pl,Das Gespräch über die Mädchen sind bekannt.,bert,5.155583381652832
16,unamb_sg_sg,sg,unamb,sg,Das Gespräch mit dem Mädchen ist bekannt.,bert,1.1026394367218018
16,unamb_sg_pl,sg,unamb,pl,Das Gespräch mit dem Mädchen sind bekannt.,bert,4.718149185180664
16,unamb_pl_sg,pl,unamb,sg,Das Gespräch mit den Mädchen ist bekannt.,bert,1.0049761533737183
16,unamb_pl_pl,pl,unamb,pl,Das Gespräch mit den Mädchen sind bekannt.,bert,4.987493515014648
17,amb_sg_sg,sg,amb,sg,Das Buch über die Bibliothek ist bekannt.,bert,0.9327827095985413
17,amb_sg_pl,sg,amb,pl,Das Buch über die Bibliothek sind bekannt.,bert,4.283178806304932
17,amb_pl_sg,pl,amb,sg,Das Buch über die Bibliotheken ist bekannt.,bert,2.755244016647339
17,amb_pl_pl,pl,amb,pl,Das Buch über die Bibliotheken sind bekannt.,bert,0.5783212184906006
17,unamb_sg_sg,sg,unamb,sg,Das Buch in der Bibliothek ist bekannt.,bert,2.8695406913757324
17,unamb_sg_pl,sg,unamb,pl,Das Buch in der Bibliothek sind bekannt.,bert,5.618198871612549
17,unamb_pl_sg,pl,unamb,sg,Das Buch in den Bibliotheken ist bekannt.,bert,2.4508724212646484
17,unamb_pl_pl,pl,unamb,pl,Das Buch in den Bibliotheken sind bekannt.,bert,4.498525619506836
18,amb_sg_sg,sg,amb,sg,Das Bild für die Frau ist bekannt.,bert,0.6980990171432495
18,amb_sg_pl,sg,amb,pl,Das Bild für die Frau sind bekannt.,bert,3.8668527603149414
18,amb_pl_sg,pl,amb,sg,Das Bild für die Frauen ist bekannt.,bert,2.1856942176818848
18,amb_pl_pl,pl,amb,pl,Das Bild für die Frauen sind bekannt.,bert,1.1643576622009277
18,unamb_sg_sg,sg,unamb,sg,Das Bild mit der Frau ist bekannt.,bert,0.7214756011962891
18,unamb_sg_pl,sg,unamb,pl,Das Bild mit der Frau sind bekannt.,bert,8.087788581848145
18,unamb_pl_sg,pl,unamb,sg,Das Bild mit den Frauen ist bekannt.,bert,0.7824026346206665
18,unamb_pl_pl,pl,unamb,pl,Das Bild mit den Frauen sind bekannt.,bert,7.665531635284424
19,amb_sg_sg,sg,amb,sg,Das Telegramm für die Sängerin ist bekannt.,bert,0.7982949614524841
19,amb_sg_pl,sg,amb,pl,Das Telegramm für die Sängerin sind bekannt.,bert,6.316682815551758
19,amb_pl_sg,pl,amb,sg,Das Telegramm für die Sängerinnen ist bekannt.,bert,0.7982949614524841
19,amb_pl_pl,pl,amb,pl,Das Telegramm für die Sängerinnen sind bekannt.,bert,6.316682815551758
19,unamb_sg_sg,sg,unamb,sg,Das Telegramm von der Sängerin ist bekannt.,bert,1.0287507772445679
19,unamb_sg_pl,sg,unamb,pl,Das Telegramm von der Sängerin sind bekannt.,bert,6.68338680267334
19,unamb_pl_sg,pl,unamb,sg,Das Telegramm von den Sängerinnen ist bekannt.,bert,0.8501636981964111
19,unamb_pl_pl,pl,unamb,pl,Das Telegramm von den Sängerinnen sind bekannt.,bert,5.716346740722656
20,amb_sg_sg,sg,amb,sg,Das Gerücht über die Kleinstadt ist bekannt.,bert,0.604701578617096
20,amb_sg_pl,sg,amb,pl,Das Gerücht über die Kleinstadt sind bekannt.,bert,5.283360481262207
20,amb_pl_sg,pl,amb,sg,Das Gerücht über die Kleinstädte ist bekannt.,bert,1.2423408031463623
20,amb_pl_pl,pl,amb,pl,Das Gerücht über die Kleinstädte sind bekannt.,bert,5.155583381652832
20,unamb_sg_sg,sg,unamb,sg,Das Gerücht in der Kleinstadt ist bekannt.,bert,0.4569445848464966
20,unamb_sg_pl,sg,unamb,pl,Das Gerücht in der Kleinstadt sind bekannt.,bert,5.131828308105469
20,unamb_pl_sg,pl,unamb,sg,Das Gerücht in den Kleinstädten ist bekannt.,bert,1.4481724500656128
20,unamb_pl_pl,pl,unamb,pl,Das Gerücht in den Kleinstädten sind bekannt.,bert,4.426122665405273
21,amb_sg_sg,sg,amb,sg,Das Geschenk für die Tante ist bekannt.,bert,0.9904707074165344
21,amb_sg_pl,sg,amb,pl,Das Geschenk für die Tante sind bekannt.,bert,4.81376838684082
21,amb_pl_sg,pl,amb,sg,Das Geschenk für die Tanten ist bekannt.,bert,3.28031587600708
21,amb_pl_pl,pl,amb,pl,Das Geschenk für die Tanten sind bekannt.,bert,0.7552122473716736
21,unamb_sg_sg,sg,unamb,sg,Das Geschenk von der Tante ist bekannt.,bert,3.0165674686431885
21,unamb_sg_pl,sg,unamb,pl,Das Geschenk von der Tante sind bekannt.,bert,6.627357006072998
21,unamb_pl_sg,pl,unamb,sg,Das Geschenk von den Tanten ist bekannt.,bert,1.3653066158294678
21,unamb_pl_pl,pl,unamb,pl,Das Geschenk von den Tanten sind bekannt.,bert,6.204403877258301
22,amb_sg_sg,sg,amb,sg,Die Beratung über die Fabrik ist bekannt.,bert,0.8509197235107422
22,amb_sg_pl,sg,amb,pl,Die Beratung über die Fabrik sind bekannt.,bert,3.485140800476074
22,amb_pl_sg,pl,amb,sg,Die Beratung über die Fabriken ist bekannt.,bert,0.9008980989456177
22,amb_pl_pl,pl,amb,pl,Die Beratung über die Fabriken sind bekannt.,bert,1.3236619234085083
22,unamb_sg_sg,sg,unamb,sg,Die Beratung in der Fabrik ist bekannt.,bert,0.6022461652755737
22,unamb_sg_pl,sg,unamb,pl,Die Beratung in der Fabrik sind bekannt.,bert,5.953344345092773
22,unamb_pl_sg,pl,unamb,sg,Die Beratung in den Fabriken ist bekannt.,bert,0.4762394428253174
22,unamb_pl_pl,pl,unamb,pl,Die Beratung in den Fabriken sind bekannt.,bert,6.182046890258789
23,amb_sg_sg,sg,amb,sg,Die Überweisung auf das Konto ist bekannt.,bert,1.2537622451782227
23,amb_sg_pl,sg,amb,pl,Die Überweisung auf das Konto sind bekannt.,bert,3.5954675674438477
23,amb_pl_sg,pl,amb,sg,Die Überweisung auf die Konten ist bekannt.,bert,1.3675137758255005
23,amb_pl_pl,pl,amb,pl,Die Überweisung auf die Konten sind bekannt.,bert,2.50455379486084
23,unamb_sg_sg,sg,unamb,sg,Die Überweisung von dem Konto ist bekannt.,bert,0.827533483505249
23,unamb_sg_pl,sg,unamb,pl,Die Überweisung von dem Konto sind bekannt.,bert,3.1409175395965576
23,unamb_pl_sg,pl,unamb,sg,Die Überweisung von den Konten ist bekannt.,bert,0.9592025279998779
23,unamb_pl_pl,pl,unamb,pl,Die Überweisung von den Konten sind bekannt.,bert,2.3261983394622803
24,amb_sg_sg,sg,amb,sg,Die Übersetzung in die Fremdsprache ist bekannt.,bert,0.8169989585876465
24,amb_sg_pl,sg,amb,pl,Die Übersetzung in die Fremdsprache sind bekannt.,bert,2.5373730659484863
24,amb_pl_sg,pl,amb,sg,Die Übersetzung in die Fremdsprachen ist bekannt.,bert,1.5605930089950562
24,amb_pl_pl,pl,amb,pl,Die Übersetzung in die Fremdsprachen sind bekannt.,bert,2.1328721046447754
24,unamb_sg_sg,sg,unamb,sg,Die Übersetzung aus der Fremdsprache ist bekannt.,bert,0.5428420305252075
24,unamb_sg_pl,sg,unamb,pl,Die Übersetzung aus der Fremdsprache sind bekannt.,bert,2.6194992065429688
24,unamb_pl_sg,pl,unamb,sg,Die Übersetzung aus den Fremdsprachen ist bekannt.,bert,1.039597988128662
24,unamb_pl_pl,pl,unamb,pl,Die Übersetzung aus den Fremdsprachen sind bekannt.,bert,2.0436854362487793
25,amb_sg_sg,sg,amb,sg,Die Stellungnahme gegen die Demonstration ist bekannt.,bert,1.2891082763671875
25,amb_sg_pl,sg,amb,pl,Die Stellungnahme gegen die Demonstration sind bekannt.,bert,8.997645378112793
25,amb_pl_sg,pl,amb,sg,Die Stellungnahme gegen die Demonstrationen ist bekannt.,bert,1.2029104232788086
25,amb_pl_pl,pl,amb,pl,Die Stellungnahme gegen die Demonstrationen sind bekannt.,bert,8.589958190917969
25,unamb_sg_sg,sg,unamb,sg,Die Stellungnahme zu der Demonstration ist bekannt.,bert,1.1176621913909912
25,unamb_sg_pl,sg,unamb,pl,Die Stellungnahme zu der Demonstration sind bekannt.,bert,9.082268714904785
25,unamb_pl_sg,pl,unamb,sg,Die Stellungnahme zu den Demonstrationen ist bekannt.,bert,1.0813632011413574
25,unamb_pl_pl,pl,unamb,pl,Die Stellungnahme zu den Demonstrationen sind bekannt.,bert,8.591875076293945
26,amb_sg_sg,sg,amb,sg,Die Unterhaltung über die Künstlerin ist bekannt.,bert,0.8506022691726685
26,amb_sg_pl,sg,amb,pl,Die Unterhaltung über die Künstlerin sind bekannt.,bert,5.351985454559326
26,amb_pl_sg,pl,amb,sg,Die Unterhaltung über die Künstlerinnen ist bekannt.,bert,0.8506022691726685
26,amb_pl_pl,pl,amb,pl,Die Unterhaltung über die Künstlerinnen sind bekannt.,bert,5.351985454559326
26,unamb_sg_sg,sg,unamb,sg,Die Unterhaltung mit der Künstlerin ist bekannt.,bert,1.265589714050293
26,unamb_sg_pl,sg,unamb,pl,Die Unterhaltung mit der Künstlerin sind bekannt.,bert,5.283452033996582
26,unamb_pl_sg,pl,unamb,sg,Die Unterhaltung mit den Künstlerinnen ist bekannt.,bert,0.9164653420448303
26,unamb_pl_pl,pl,unamb,pl,Die Unterhaltung mit den Künstlerinnen sind bekannt.,bert,5.193652629852295
27,amb_sg_sg,sg,amb,sg,Die Verhandlung über die Schule ist bekannt.,bert,0.6834196448326111
27,amb_sg_pl,sg,amb,pl,Die Verhandlung über die Schule sind bekannt.,bert,5.614175319671631
27,amb_pl_sg,pl,amb,sg,Die Verhandlung über die Schulen ist bekannt.,bert,2.8304271697998047
27,amb_pl_pl,pl,amb,pl,Die Verhandlung über die Schulen sind bekannt.,bert,0.9261035323143005
27,unamb_sg_sg,sg,unamb,sg,Die Verhandlung mit der Schule ist bekannt.,bert,0.983238935470581
27,unamb_sg_pl,sg,unamb,pl,Die Verhandlung mit der Schule sind bekannt.,bert,7.432438850402832
27,unamb_pl_sg,pl,unamb,sg,Die Verhandlung mit den Schulen ist bekannt.,bert,0.7622860670089722
27,unamb_pl_pl,pl,unamb,pl,Die Verhandlung mit den Schulen sind bekannt.,bert,7.361655235290527
28,amb_sg_sg,sg,amb,sg,Die Brücke über das Tal ist bekannt.,bert,1.4307862520217896
28,amb_sg_pl,sg,amb,pl,Die Brücke über das Tal sind bekannt.,bert,3.2389211654663086
28,amb_pl_sg,pl,amb,sg,Die Brücke über die Täler ist bekannt.,bert,1.9355878829956055
28,amb_pl_pl,pl,amb,pl,Die Brücke über die Täler sind bekannt.,bert,4.886577606201172
28,unamb_sg_sg,sg,unamb,sg,Die Brücke bei dem Tal ist bekannt.,bert,1.0256450176239014
28,unamb_sg_pl,sg,unamb,pl,Die Brücke bei dem Tal sind bekannt.,bert,3.3608062267303467
28,unamb_pl_sg,pl,unamb,sg,Die Brücke bei den Tälern ist bekannt.,bert,2.2430026531219482
28,unamb_pl_pl,pl,unamb,pl,Die Brücke bei den Tälern sind bekannt.,bert,4.261333465576172
29,amb_sg_sg,sg,amb,sg,Die Hilfsaktion für das Entwicklungsland ist bekannt.,bert,0.9980884790420532
29,amb_sg_pl,sg,amb,pl,Die Hilfsaktion für das Entwicklungsland sind bekannt.,bert,6.649109840393066
29,amb_pl_sg,pl,amb,sg,Die Hilfsaktion für die Entwicklungsländer ist bekannt.,bert,0.7474689483642578
29,amb_pl_pl,pl,amb,pl,Die Hilfsaktion für die Entwicklungsländer sind bekannt.,bert,6.855583667755127
29,unamb_sg_sg,sg,unamb,sg,Die Hilfsaktion in dem Entwicklungsland ist bekannt.,bert,1.0668268203735352
29,unamb_sg_pl,sg,unamb,pl,Die Hilfsaktion in dem Entwicklungsland sind bekannt.,bert,8.819051742553711
29,unamb_pl_sg,pl,unamb,sg,Die Hilfsaktion in den Entwicklungsländern ist bekannt.,bert,0.6799735426902771
29,unamb_pl_pl,pl,unamb,pl,Die Hilfsaktion in den Entwicklungsländern sind bekannt.,bert,5.896737098693848
30,amb_sg_sg,sg,amb,sg,Die Fernsehübertragung in das Nachbarland ist bekannt.,bert,1.2014509439468384
30,amb_sg_pl,sg,amb,pl,Die Fernsehübertragung in das Nachbarland sind bekannt.,bert,2.584242343902588
30,amb_pl_sg,pl,amb,sg,Die Fernsehübertragung in die Nachbarländer ist bekannt.,bert,1.9063304662704468
30,amb_pl_pl,pl,amb,pl,Die Fernsehübertragung in die Nachbarländer sind bekannt.,bert,3.646277904510498
30,unamb_sg_sg,sg,unamb,sg,Die Fernsehübertragung aus dem Nachbarland ist bekannt.,bert,0.9316933155059814
30,unamb_sg_pl,sg,unamb,pl,Die Fernsehübertragung aus dem Nachbarland sind bekannt.,bert,1.792391061782837
30,unamb_pl_sg,pl,unamb,sg,Die Fernsehübertragung aus den Nachbarländern ist bekannt.,bert,1.3128271102905273
30,unamb_pl_pl,pl,unamb,pl,Die Fernsehübertragung aus den Nachbarländern sind bekannt.,bert,2.8550310134887695
31,amb_sg_sg,sg,amb,sg,Die Fahrt durch die Schlucht ist bekannt.,bert,0.22591936588287354
31,amb_sg_pl,sg,amb,pl,Die Fahrt durch die Schlucht sind bekannt.,bert,5.901147365570068
31,amb_pl_sg,pl,amb,sg,Die Fahrt durch die Schluchten ist bekannt.,bert,0.34751376509666443
31,amb_pl_pl,pl,amb,pl,Die Fahrt durch die Schluchten sind bekannt.,bert,5.336010456085205
31,unamb_sg_sg,sg,unamb,sg,Die Fahrt zu der Schlucht ist bekannt.,bert,0.20801107585430145
31,unamb_sg_pl,sg,unamb,pl,Die Fahrt zu der Schlucht sind bekannt.,bert,5.730889797210693
31,unamb_pl_sg,pl,unamb,sg,Die Fahrt zu den Schluchten ist bekannt.,bert,0.34168118238449097
31,unamb_pl_pl,pl,unamb,pl,Die Fahrt zu den Schluchten sind bekannt.,bert,5.321640491485596
32,amb_sg_sg,sg,amb,sg,Die Diskussion über die Beamtin ist bekannt.,bert,0.7319819331169128
32,amb_sg_pl,sg,amb,pl,Die Diskussion über die Beamtin sind bekannt.,bert,5.646021366119385
32,amb_pl_sg,pl,amb,sg,Die Diskussion über die Beamtinnen ist bekannt.,bert,0.7215644717216492
