Item,Condition,Stimulus,NP_Number,Auxiliary,Full_Sentence,model_type,source_file,surprisal
13,c,The door to the laboratory,singular,are,The door to the laboratory are left unlocked by the cleaning service.,bert,no_syn,10.49517822265625
13,d,The door to the laboratories,plural,are,The door to the laboratories are left unlocked by the cleaning service.,bert,no_syn,7.842140197753906
14,a,The memo from the supervisor,singular,is,The memo from the supervisor is about the delinquent tax return.,bert,no_syn,2.99216890335083
14,b,The memo from the supervisors,plural,is,The memo from the supervisors is about the delinquent tax return.,bert,no_syn,2.561516284942627
14,c,The memo from the supervisor,singular,are,The memo from the supervisor are about the delinquent tax return.,bert,no_syn,10.077685356140137
14,d,The memo from the supervisors,plural,are,The memo from the supervisors are about the delinquent tax return.,bert,no_syn,8.252504348754883
15,a,The check from the stockbroker,singular,is,The check from the stockbroker is a dividend on a long-term bond.,bert,no_syn,2.666956901550293
15,b,The check from the stockbrokers,plural,is,The check from the stockbrokers is a dividend on a long-term bond.,bert,no_syn,2.6759917736053467
15,c,The check from the stockbroker,singular,are,The check from the stockbroker are a dividend on a long-term bond.,bert,no_syn,9.832279205322266
15,d,The check from the stockbrokers,plural,are,The check from the stockbrokers are a dividend on a long-term bond.,bert,no_syn,9.57581615447998
16,a,The key to the cell,singular,is,The key to the cell is rusty from many years of disuse.,bert,no_syn,0.2370549589395523
16,b,The key to the cells,plural,is,The key to the cells is rusty from many years of disuse.,bert,no_syn,0.31618809700012207
16,c,The key to the cell,singular,are,The key to the cell are rusty from many years of disuse.,bert,no_syn,7.787601470947266
16,d,The key to the cells,plural,are,The key to the cells are rusty from many years of disuse.,bert,no_syn,3.7566254138946533
17,a,The letter from the investigator,singular,is,The letter from the investigator is received in San Francisco in late March.,bert,no_syn,6.273007392883301
17,b,The letter from the investigators,plural,is,The letter from the investigators is received in San Francisco in late March.,bert,no_syn,6.803389072418213
17,c,The letter from the investigator,singular,are,The letter from the investigator are received in San Francisco in late March.,bert,no_syn,12.919547080993652
17,d,The letter from the investigators,plural,are,The letter from the investigators are received in San Francisco in late March.,bert,no_syn,11.652698516845703
18,a,The entrance to the exhibit,singular,is,The entrance to the exhibit is hard to locate on the diagram.,bert,no_syn,0.18740662932395935
18,b,The entrance to the exhibits,plural,is,The entrance to the exhibits is hard to locate on the diagram.,bert,no_syn,0.10117518901824951
18,c,The entrance to the exhibit,singular,are,The entrance to the exhibit are hard to locate on the diagram.,bert,no_syn,7.318387985229492
18,d,The entrance to the exhibits,plural,are,The entrance to the exhibits are hard to locate on the diagram.,bert,no_syn,4.737139701843262
19,a,The warning from the expert,singular,is,The warning from the expert is a shock to the residents of the city.,bert,no_syn,2.3037939071655273
19,b,The warning from the experts,plural,is,The warning from the experts is a shock to the residents of the city.,bert,no_syn,2.5632240772247314
19,c,The warning from the expert,singular,are,The warning from the expert are a shock to the residents of the city.,bert,no_syn,8.49478816986084
19,d,The warning from the experts,plural,are,The warning from the experts are a shock to the residents of the city.,bert,no_syn,7.591122627258301
20,a,The bridge to the island,singular,is,The bridge to the island is about ten miles off the main highway.,bert,no_syn,0.14986291527748108
20,b,The bridge to the islands,plural,is,The bridge to the islands is about ten miles off the main highway.,bert,no_syn,0.30666524171829224
20,c,The bridge to the island,singular,are,The bridge to the island are about ten miles off the main highway.,bert,no_syn,8.19352912902832
20,d,The bridge to the islands,plural,are,The bridge to the islands are about ten miles off the main highway.,bert,no_syn,7.866172790527344
21,a,The gift from the visitor,singular,is,The gift from the visitor is a beautiful clock from Germany.,bert,no_syn,0.5298394560813904
21,b,The gift from the visitors,plural,is,The gift from the visitors is a beautiful clock from Germany.,bert,no_syn,0.7164443135261536
21,c,The gift from the visitor,singular,are,The gift from the visitor are a beautiful clock from Germany.,bert,no_syn,7.7906012535095215
21,d,The gift from the visitors,plural,are,The gift from the visitors are a beautiful clock from Germany.,bert,no_syn,7.057823657989502
22,a,The path to the monument,singular,is,The path to the monument is lined with lovely trees and flowers.,bert,no_syn,1.790709376335144
22,b,The path to the monuments,plural,is,The path to the monuments is lined with lovely trees and flowers.,bert,no_syn,2.356290340423584
22,c,The path to the monument,singular,are,The path to the monument are lined with lovely trees and flowers.,bert,no_syn,10.688413619995117
22,d,The path to the monuments,plural,are,The path to the monuments are lined with lovely trees and flowers.,bert,no_syn,10.011093139648438
23,a,The message from the engineer,singular,is,The message from the engineer is about the recent weakening to the building's structural supports.,bert,no_syn,1.4578096866607666
23,b,The message from the engineers,plural,is,The message from the engineers is about the recent weakening to the building's structural supports.,bert,no_syn,1.4823890924453735
23,c,The message from the engineer,singular,are,The message from the engineer are about the recent weakening to the building's structural supports.,bert,no_syn,9.024956703186035
23,d,The message from the engineers,plural,are,The message from the engineers are about the recent weakening to the building's structural supports.,bert,no_syn,7.713961124420166
24,a,The gate to the pasture,singular,is,The gate to the pasture is falling down due to disrepair.,bert,no_syn,0.31268230080604553
24,b,The gate to the pastures,plural,is,The gate to the pastures is falling down due to disrepair.,bert,no_syn,0.2449759840965271
24,c,The gate to the pasture,singular,are,The gate to the pasture are falling down due to disrepair.,bert,no_syn,6.879080772399902
24,d,The gate to the pastures,plural,are,The gate to the pastures are falling down due to disrepair.,bert,no_syn,5.240126609802246
1,a,The cake at the senator’s celebration,singular,is,The cake at the senator’s celebration is delicious.,bert,syn,4.542613506317139
1,b,The cake at the senator’s celebration,singular,are,The cake at the senator’s celebration are delicious.,bert,syn,13.338371276855469
1,c,The cake at the senators’ celebration,plural,is,The cake at the senators’ celebration is delicious.,bert,syn,3.127039909362793
1,d,The cake at the senators’ celebration,plural,are,The cake at the senators’ celebration are delicious.,bert,syn,12.457954406738281
2,a,The call to the doctor’s secretary,singular,is,The call to the doctor’s secretary is urgent.,bert,syn,3.943185567855835
2,b,The call to the doctor’s secretary,singular,are,The call to the doctor’s secretary are urgent.,bert,syn,12.94698429107666
2,c,The call to the doctors’ secretary,plural,is,The call to the doctors’ secretary is urgent.,bert,syn,3.6933021545410156
2,d,The call to the doctors’ secretary,plural,are,The call to the doctors’ secretary are urgent.,bert,syn,12.725245475769043
3,a,The computer for the laboratory’s experiment,singular,is,The computer for the laboratory’s experiment is modern.,bert,syn,1.0680768489837646
3,b,The computer for the laboratory’s experiment,singular,are,The computer for the laboratory’s experiment are modern.,bert,syn,8.742383003234863
3,c,The computer for the laboratories’ experiment,plural,is,The computer for the laboratories’ experiment is modern.,bert,syn,1.3560172319412231
3,d,The computer for the laboratories’ experiment,plural,are,The computer for the laboratories’ experiment are modern.,bert,syn,9.057988166809082
4,a,The encounter with the wolf's baby,singular,is,The encounter with the wolf's baby is frightening.,bert,syn,1.5628302097320557
4,b,The encounter with the wolf's baby,singular,are,The encounter with the wolf's baby are frightening.,bert,syn,9.59235668182373
4,c,The encounter with the wolves' baby,plural,is,The encounter with the wolves' baby is frightening.,bert,syn,1.383201241493225
4,d,The encounter with the wolves' baby,plural,are,The encounter with the wolves' baby are frightening.,bert,syn,9.313637733459473
5,a,The plan for the school’s upgrade,singular,is,The plan for the school’s upgrade is unrealistic.,bert,syn,2.654297351837158
5,b,The plan for the school’s upgrade,singular,are,The plan for the school’s upgrade are unrealistic.,bert,syn,9.847166061401367
5,c,The plan for the schools’ upgrade,plural,is,The plan for the schools’ upgrade is unrealistic.,bert,syn,2.31023907661438
5,d,The plan for the schools’ upgrade,plural,are,The plan for the schools’ upgrade are unrealistic.,bert,syn,9.922471046447754
6,a,The problem with the family’s account,singular,is,The problem with the family’s account is discussed.,bert,syn,0.57502281665802
6,b,The problem with the family’s account,singular,are,The problem with the family’s account are discussed.,bert,syn,5.802964210510254
6,c,The problem with the families’ account,plural,is,The problem with the families’ account is discussed.,bert,syn,0.6549211740493774
6,d,The problem with the families’ account,plural,are,The problem with the families’ account are discussed.,bert,syn,5.7864813804626465
7,a,The report to the chairman's advisor,singular,is,The report to the chairman's advisor is shocking.,bert,syn,2.9826221466064453
7,b,The report to the chairman's advisor,singular,are,The report to the chairman's advisor are shocking.,bert,syn,10.711167335510254
7,c,The report to the chairmans' advisor,plural,is,The report to the chairmen' advisor is shocking.,bert,syn,3.0814261436462402
7,d,The report to the chairmans' advisor,plural,are,The report to the chairmen' advisor are shocking.,bert,syn,10.733299255371094
8,a,The telegram for the congressman's lobbyist,singular,is,The telegram for the congressman's lobbyist is never received.,bert,syn,4.418277740478516
8,b,The telegram for the congressman's lobbyist,singular,are,The telegram for the congressman's lobbyist are never received.,bert,syn,11.64533805847168
8,c,The telegram for the congressmans' lobbyist,plural,is,The telegram for the congressmans' lobbyist is never received.,bert,syn,4.226120948791504
8,d,The telegram for the congressmans' lobbyist,plural,are,The telegram for the congressmans' lobbyist are never received.,bert,syn,11.029314041137695
9,a,The announcement from the magazine’s spokeswoman,singular,is,The announcement from the magazine’s spokeswoman is astonishing.,bert,syn,4.4253315925598145
9,b,The announcement from the magazine’s spokeswoman,singular,are,The announcement from the magazine’s spokeswoman are astonishing.,bert,syn,13.18437671661377
9,c,The announcement from the magazines’ spokeswoman,plural,is,The announcement from the magazines’ spokeswoman is astonishing.,bert,syn,4.152338981628418
9,d,The announcement from the magazines’ spokeswoman,plural,are,The announcement from the magazines’ spokeswoman are astonishing.,bert,syn,12.910558700561523
10,a,The large dog at the toddler’s party,singular,is,The large dog at the toddler’s party is adorable.,bert,syn,2.5014612674713135
10,b,The large dog at the toddler’s party,singular,are,The large dog at the toddler’s party are adorable.,bert,syn,10.758493423461914
10,c,The large dog at the toddlers’ party,plural,is,The large dog at the toddlers’ party is adorable.,bert,syn,2.2725460529327393
10,d,The large dog at the toddlers’ party,plural,are,The large dog at the toddlers’ party are adorable.,bert,syn,10.825618743896484
11,a,The letter to the housewife’s representative,singular,is,The letter to the housewife’s representative is hostile.,bert,syn,1.4093009233474731
11,b,The letter to the housewife’s representative,singular,are,The letter to the housewife’s representative are hostile.,bert,syn,9.064352989196777
11,c,The letter to the housewives’ representative,plural,is,The letter to the housewives’ representative is hostile.,bert,syn,2.749896287918091
11,d,The letter to the housewives’ representative,plural,are,The letter to the housewives’ representative are hostile.,bert,syn,10.479466438293457
12,a,The message for the wizard’s apprentice,singular,is,The message for the wizard’s apprentice is puzzling.,bert,syn,3.1189188957214355
12,b,The message for the wizard’s apprentice,singular,are,The message for the wizard’s apprentice are puzzling.,bert,syn,9.82319450378418
12,c,The message for the wizards’ apprentice,plural,is,The message for the wizards’ apprentice is puzzling.,bert,syn,3.0321593284606934
12,d,The message for the wizards’ apprentice,plural,are,The message for the wizards’ apprentice are puzzling.,bert,syn,9.820995330810547
13,a,The outfit for the saleslady’s display,singular,is,The outfit for the saleslady’s display is attractive.,bert,syn,3.813225507736206
13,b,The outfit for the saleslady’s display,singular,are,The outfit for the saleslady’s display are attractive.,bert,syn,10.818464279174805
13,c,The outfit for the salesladies’ display,plural,is,The outfit for the salesladies’ display is attractive.,bert,syn,3.5908725261688232
13,d,The outfit for the salesladies’ display,plural,are,The outfit for the salesladies’ display are attractive.,bert,syn,10.607172012329102
14,a,The position in the woman's newsletter,singular,is,The position in the woman's newsletter is unpopular.,bert,syn,4.6890411376953125
14,b,The position in the woman's newsletter,singular,are,The position in the woman's newsletter are unpopular.,bert,syn,12.37578010559082
14,c,The position in the women's newsletter,plural,is,The position in the women's newsletter is unpopular.,bert,syn,4.627606391906738
14,d,The position in the women's newsletter,plural,are,The position in the women's newsletter are unpopular.,bert,syn,12.065153121948242
15,a,The promise from the company’s salesman,singular,is,The promise from the company’s salesman is broken.,bert,syn,3.0578367710113525
15,b,The promise from the company’s salesman,singular,are,The promise from the company’s salesman are broken.,bert,syn,9.831164360046387
15,c,The promise from the companies’ salesman,plural,is,The promise from the companies’ salesman is broken.,bert,syn,2.7724106311798096
15,d,The promise from the companies’ salesman,plural,are,The promise from the companies’ salesman are broken.,bert,syn,9.48538589477539
16,a,The speech about the councilman's proposal,singular,is,The speech about the councilman's proposal is convincing.,bert,syn,2.0248310565948486
16,b,The speech about the councilman's proposal,singular,are,The speech about the councilman's proposal are convincing.,bert,syn,8.791996955871582
16,c,The speech about the councilmans' proposal,plural,is,The speech about the councilmans' proposal is convincing.,bert,syn,2.586047410964966
16,d,The speech about the councilmans' proposal,plural,are,The speech about the councilmans' proposal are convincing.,bert,syn,9.66048526763916
17,a,The confession of the thief's accomplice,singular,is,The confession of the thief's accomplice is tape recorded.,bert,syn,1.2269494533538818
17,b,The confession of the thief's accomplice,singular,are,The confession of the thief's accomplice are tape recorded.,bert,syn,6.305197715759277
17,c,The confession of the thieves' accomplice,plural,is,The confession of the thieves' accomplice is tape recorded.,bert,syn,1.5515319108963013
17,d,The confession of the thieves' accomplice,plural,are,The confession of the thieves' accomplice are tape recorded.,bert,syn,6.524110317230225
18,a,The disagreement about the corporation's lawsuit,singular,is,The disagreement about the corporation's lawsuit is petty.,bert,syn,3.50199294090271
18,b,The disagreement about the corporation's lawsuit,singular,are,The disagreement about the corporation's lawsuit are petty.,bert,syn,9.038041114807129
18,c,The disagreement about the corporations' lawsuit,plural,is,The disagreement about the corporations' lawsuit is petty.,bert,syn,2.999802589416504
18,d,The disagreement about the corporations' lawsuit,plural,are,The disagreement about the corporations' lawsuit are petty.,bert,syn,9.019485473632812
19,a,The dress at the designer's showcase,singular,is,The dress at the designer's showcase is expensive.,bert,syn,4.414300441741943
19,b,The dress at the designer's showcase,singular,are,The dress at the designer's showcase are expensive.,bert,syn,13.22192668914795
19,c,The dress at the designers' showcase,plural,is,The dress at the designers' showcase is expensive.,bert,syn,4.341515064239502
19,d,The dress at the designers' showcase,plural,are,The dress at the designers' showcase are expensive.,bert,syn,13.194531440734863
20,a,The hex from the fairy's spellbook,singular,is,The hex from the fairy's spellbook is ineffective.,bert,syn,4.5094757080078125
20,b,The hex from the fairy's spellbook,singular,are,The hex from the fairy's spellbook are ineffective.,bert,syn,9.600996017456055
20,c,The hex from the fairys' spellbook,plural,is,The hex from the fairys' spellbook is ineffective.,bert,syn,4.192517280578613
20,d,The hex from the fairys' spellbook,plural,are,The hex from the fairys' spellbook are ineffective.,bert,syn,9.611837387084961
21,a,The job for the cleaning lady's helper,singular,is,The job for the cleaning lady's helper is tiring.,bert,syn,3.5431039333343506
21,b,The job for the cleaning lady's helper,singular,are,The job for the cleaning lady's helper are tiring.,bert,syn,11.396668434143066
21,c,The job for the cleaningladies' helper,plural,is,The job for the cleaningladies' helper is tiring.,bert,syn,3.360006332397461
21,d,The job for the cleaningladies' helper,plural,are,The job for the cleaningladies' helper are tiring.,bert,syn,10.864131927490234
22,a,The restaurant near the fisherman's dock,singular,is,The restaurant near the fisherman's dock is closed down.,bert,syn,2.777859926223755
22,b,The restaurant near the fisherman's dock,singular,are,The restaurant near the fisherman's dock are closed down.,bert,syn,8.518321990966797
22,c,The restaurant near the fishermans' dock,plural,is,The restaurant near the fishermans' dock is closed down.,bert,syn,2.641112804412842
22,d,The restaurant near the fishermans' dock,plural,are,The restaurant near the fishermans' dock are closed down.,bert,syn,8.011100769042969
23,a,The uniform containing the policeman's key,singular,is,The uniform containing the policeman's key is missing.,bert,syn,1.0447993278503418
23,b,The uniform containing the policeman's key,singular,are,The uniform containing the policeman's key are missing.,bert,syn,7.558000087738037
23,c,The uniform containing the policemans' key,plural,is,The uniform containing the policemans' key is missing.,bert,syn,0.7284442782402039
23,d,The uniform containing the policemans' key,plural,are,The uniform containing the policemans' key are missing.,bert,syn,6.907201290130615
24,a,The visit with the student's teacher,singular,is,The visit with the student's teacher is informative.,bert,syn,0.8526216745376587
24,b,The visit with the student's teacher,singular,are,The visit with the student's teacher are informative.,bert,syn,6.472172260284424
24,c,The visit with the students' teacher,plural,is,The visit with the students' teacher is informative.,bert,syn,1.03847336769104
24,d,The visit with the students' teacher,plural,are,The visit with the students' teacher are informative.,bert,syn,6.459027290344238
25,a,The antique trunk for the child's toy,singular,is,The antique trunk for the child's toy is large.,bert,syn,3.2347970008850098
25,b,The antique trunk for the child's toy,singular,are,The antique trunk for the child's toy are large.,bert,syn,12.082180976867676
25,c,The antique trunk for the children's toy,plural,is,The antique trunk for the children's toy is large.,bert,syn,2.730818033218384
25,d,The antique trunk for the children's toy,plural,are,The antique trunk for the children's toy are large.,bert,syn,11.261889457702637
26,a,The car with the policeman's insignia,singular,is,The car with the policeman's insignia is new.,bert,syn,3.9336025714874268
26,b,The car with the policeman's insignia,singular,are,The car with the policeman's insignia are new.,bert,syn,10.69737434387207
26,c,The car with the policemans' insignia,plural,is,The car with the policemans' insignia is new.,bert,syn,3.1041524410247803
26,d,The car with the policemans' insignia,plural,are,The car with the policemans' insignia are new.,bert,syn,9.676019668579102
27,a,The invasion of the enemy's bunker,singular,is,The invasion of the enemy's bunker is merciless.,bert,syn,1.1275386810302734
27,b,The invasion of the enemy's bunker,singular,are,The invasion of the enemy's bunker are merciless.,bert,syn,8.342185020446777
27,c,The invasion of the enemies' bunker,plural,is,The invasion of the enemies' bunker is merciless.,bert,syn,1.0531277656555176
27,d,The invasion of the enemies' bunker,plural,are,The invasion of the enemies' bunker are merciless.,bert,syn,8.10367202758789
28,a,The memo from the supervisor's lawyer,singular,is,The memo from the supervisor's lawyer is harsh.,bert,syn,3.5126004219055176
28,b,The memo from the supervisor's lawyer,singular,are,The memo from the supervisor's lawyer are harsh.,bert,syn,9.700577735900879
28,c,The memo from the supervisors' lawyer,plural,is,The memo from the supervisors' lawyer is harsh.,bert,syn,3.4587275981903076
28,d,The memo from the supervisors' lawyer,plural,are,The memo from the supervisors' lawyer are harsh.,bert,syn,10.1007661819458
29,a,The picnic with the baby's caretaker,singular,is,The picnic with the baby's caretaker is enjoyable.,bert,syn,5.424941539764404
29,b,The picnic with the baby's caretaker,singular,are,The picnic with the baby's caretaker are enjoyable.,bert,syn,12.739697456359863
29,c,The picnic with the babies' caretaker,plural,is,The picnic with the babies' caretaker is enjoyable.,bert,syn,6.340671062469482
29,d,The picnic with the babies' caretaker,plural,are,The picnic with the babies' caretaker are enjoyable.,bert,syn,13.607518196105957
30,a,The tiny fountain in the elf's garden,singular,is,The tiny fountain in the elf's garden is amusing.,bert,syn,3.694573402404785
30,b,The tiny fountain in the elf's garden,singular,are,The tiny fountain in the elf's garden are amusing.,bert,syn,11.27912425994873
30,c,The tiny fountain in the elves' garden,plural,is,The tiny fountain in the elves' garden is amusing.,bert,syn,3.1926321983337402
30,d,The tiny fountain in the elves' garden,plural,are,The tiny fountain in the elves' garden are amusing.,bert,syn,11.087230682373047
31,a,The truck with the fireman's hose,singular,is,The truck with the fireman's hose is leaving.,bert,syn,1.9866199493408203
31,b,The truck with the fireman's hose,singular,are,The truck with the fireman's hose are leaving.,bert,syn,8.90191650390625
31,c,The truck with the firemans' hose,plural,is,The truck with the firemans' hose is leaving.,bert,syn,2.153799533843994
31,d,The truck with the firemans' hose,plural,are,The truck with the firemans' hose are leaving.,bert,syn,9.382461547851562
32,a,The response to the country's attack,singular,is,The response to the country's attack is immediate.,bert,syn,5.579215049743652
32,b,The response to the country's attack,singular,are,The response to the country's attack are immediate.,bert,syn,12.457762718200684
32,c,The response to the countries' attack,plural,is,The response to the countries' attack is immediate.,bert,syn,5.074904441833496
32,d,The response to the countries' attack,plural,are,The response to the countries' attack are immediate.,bert,syn,11.982443809509277
1,a,The slogan on the poster,singular,is,The slogan on the poster is designed to get attention.,gpt2,no_syn,1.3979047536849976
1,b,The slogan on the posters,plural,is,The slogan on the posters is designed to get attention.,gpt2,no_syn,1.286367654800415
1,c,The slogan on the poster,singular,are,The slogan on the poster are designed to get attention.,gpt2,no_syn,7.271462917327881
1,d,The slogan on the posters,plural,are,The slogan on the posters are designed to get attention.,gpt2,no_syn,4.627706527709961
2,a,The picture on the flier,singular,is,The picture on the flier is of a village church in the south of France.,gpt2,no_syn,2.0425591468811035
2,b,The picture on the fliers,plural,is,The picture on the fliers is of a village church in the south of France.,gpt2,no_syn,1.7522329092025757
2,c,The picture on the flier,singular,are,The picture on the flier are of a village church in the south of France.,gpt2,no_syn,7.81975793838501
2,d,The picture on the fliers,plural,are,The picture on the fliers are of a village church in the south of France.,gpt2,no_syn,5.384152889251709
3,a,The mistake in the program,singular,is,The mistake in the program is disastrous for the small software company.,gpt2,no_syn,1.2416526079177856
3,b,The mistake in the programs,plural,is,The mistake in the programs is disastrous for the small software company.,gpt2,no_syn,1.4372249841690063
3,c,The mistake in the program,singular,are,The mistake in the program are disastrous for the small software company.,gpt2,no_syn,7.419859886169434
3,d,The mistake in the programs,plural,are,The mistake in the programs are disastrous for the small software company.,gpt2,no_syn,4.8410258293151855
4,a,The label on the container,singular,is,The label on the container is a warning about the hazardous chemicals inside.,gpt2,no_syn,1.5871657133102417
4,b,The label on the containers,plural,is,The label on the containers is a warning about the hazardous chemicals inside.,gpt2,no_syn,1.4463967084884644
4,c,The label on the container,singular,are,The label on the container are a warning about the hazardous chemicals inside.,gpt2,no_syn,7.943565368652344
4,d,The label on the containers,plural,are,The label on the containers are a warning about the hazardous chemicals inside.,gpt2,no_syn,3.988389015197754
5,a,The problem in the store,singular,is,The problem in the store is solved by firing the custodian.,gpt2,no_syn,0.9040099382400513
5,b,The problem in the stores,plural,is,The problem in the stores is solved by firing the custodian.,gpt2,no_syn,0.7165804505348206
5,c,The problem in the store,singular,are,The problem in the store are solved by firing the custodian.,gpt2,no_syn,5.379458427429199
5,d,The problem in the stores,plural,are,The problem in the stores are solved by firing the custodian.,gpt2,no_syn,4.395840644836426
6,a,The name on the billboard,singular,is,The name on the billboard is of a prominent local businessman.,gpt2,no_syn,1.2334508895874023
6,b,The name on the billboards,plural,is,The name on the billboards is of a prominent local businessman.,gpt2,no_syn,1.2235933542251587
6,c,The name on the billboard,singular,are,The name on the billboard are of a prominent local businessman.,gpt2,no_syn,7.687308311462402
6,d,The name on the billboards,plural,are,The name on the billboards are of a prominent local businessman.,gpt2,no_syn,5.4274582862854
7,a,The crime in the suburb,singular,is,The crime in the suburb is a reflection of the violence in today's society.,gpt2,no_syn,2.6499204635620117
