lg,item,syn,sentence,condition,headn,attn,verbn,model_type,surprisal
russian,7,0,Возражения на упреки без излишне бурных эмоций были приняты,PL-PL-PL,PL,PL,PL,bert,10.044601440429688
russian,8,0,Выстрел в цель из-за сбитого прицела ружья был неточным,SG-SG-SG,SG,SG,SG,bert,13.064294815063477
russian,8,0,Выстрел в цель из-за сбитого прицела ружья были неточными,SG-SG-PL,SG,SG,PL,bert,12.699544906616211
russian,8,0,Выстрел в цели из-за сбитого прицела ружья был неточным,SG-PL-SG,SG,PL,SG,bert,13.170635223388672
russian,8,0,Выстрел в цели из-за сбитого прицела ружья были неточными,SG-PL-PL,SG,PL,PL,bert,12.805234909057617
russian,8,0,Выстрелы в цель из-за сбитого прицела ружья был неточным,PL-SG-SG,PL,SG,SG,bert,13.664468765258789
russian,8,0,Выстрелы в цель из-за сбитого прицела ружья были неточными,PL-SG-PL,PL,SG,PL,bert,12.963394165039062
russian,8,0,Выстрелы в цели из-за сбитого прицела ружья был неточным,PL-PL-SG,PL,PL,SG,bert,13.798067092895508
russian,8,0,Выстрелы в цели из-за сбитого прицела ружья были неточными,PL-PL-PL,PL,PL,PL,bert,13.004106521606445
russian,9,0,Дорога через лес для снабжения людей провизией была проложена,SG-SG-SG,SG,SG,SG,bert,13.274587631225586
russian,9,0,Дорога через лес для снабжения людей провизией были проложены,SG-SG-PL,SG,SG,PL,bert,11.720772743225098
russian,9,0,Дорога через леса для снабжения людей провизией была проложена,SG-PL-SG,SG,PL,SG,bert,13.161465644836426
russian,9,0,Дорога через леса для снабжения людей провизией были проложены,SG-PL-PL,SG,PL,PL,bert,11.704727172851562
russian,9,0,Дороги через лес для снабжения людей провизией была проложена,PL-SG-SG,PL,SG,SG,bert,13.972360610961914
russian,9,0,Дороги через лес для снабжения людей провизией были проложены,PL-SG-PL,PL,SG,PL,bert,12.475200653076172
russian,9,0,Дороги через леса для снабжения людей провизией была проложена,PL-PL-SG,PL,PL,SG,bert,13.97117805480957
russian,9,0,Дороги через леса для снабжения людей провизией были проложены,PL-PL-PL,PL,PL,PL,bert,12.468805313110352
russian,10,0,Жалоба на боль из-за нарушения дыхания пациента была тихой,SG-SG-SG,SG,SG,SG,bert,12.307821273803711
russian,10,0,Жалоба на боль из-за нарушения дыхания пациента были тихими,SG-SG-PL,SG,SG,PL,bert,11.347053527832031
russian,10,0,Жалоба на боли из-за нарушения дыхания пациента была тихой,SG-PL-SG,SG,PL,SG,bert,12.272615432739258
russian,10,0,Жалоба на боли из-за нарушения дыхания пациента были тихими,SG-PL-PL,SG,PL,PL,bert,11.373825073242188
russian,10,0,Жалобы на боль из-за нарушения дыхания пациента была тихой,PL-SG-SG,PL,SG,SG,bert,13.055346488952637
russian,10,0,Жалобы на боль из-за нарушения дыхания пациента были тихими,PL-SG-PL,PL,SG,PL,bert,11.888330459594727
russian,10,0,Жалобы на боли из-за нарушения дыхания пациента была тихой,PL-PL-SG,PL,PL,SG,bert,13.026710510253906
russian,10,0,Жалобы на боли из-за нарушения дыхания пациента были тихими,PL-PL-PL,PL,PL,PL,bert,11.777217864990234
russian,11,0,История про убийство в присутствии маленьких детей была рассказана,SG-SG-SG,SG,SG,SG,bert,13.517642974853516
russian,11,0,История про убийство в присутствии маленьких детей были рассказаны,SG-SG-PL,SG,SG,PL,bert,11.064098358154297
russian,11,0,История про убийства в присутствии маленьких детей была рассказана,SG-PL-SG,SG,PL,SG,bert,13.536880493164062
russian,11,0,История про убийства в присутствии маленьких детей были рассказаны,SG-PL-PL,SG,PL,PL,bert,11.002187728881836
russian,11,0,Истории про убийство в присутствии маленьких детей была рассказана,PL-SG-SG,PL,SG,SG,bert,13.722221374511719
russian,11,0,Истории про убийство в присутствии маленьких детей были рассказаны,PL-SG-PL,PL,SG,PL,bert,11.30422306060791
russian,11,0,Истории про убийства в присутствии маленьких детей была рассказана,PL-PL-SG,PL,PL,SG,bert,13.796623229980469
russian,11,0,Истории про убийства в присутствии маленьких детей были рассказаны,PL-PL-PL,PL,PL,PL,bert,11.340104103088379
russian,12,0,Кредит на участок из-за высокой стоимости земли был долгосрочным,SG-SG-SG,SG,SG,SG,bert,13.842819213867188
russian,12,0,Кредит на участок из-за высокой стоимости земли были долгосрочными,SG-SG-PL,SG,SG,PL,bert,12.206287384033203
russian,12,0,Кредит на участки из-за высокой стоимости земли был долгосрочным,SG-PL-SG,SG,PL,SG,bert,13.842586517333984
russian,12,0,Кредит на участки из-за высокой стоимости земли были долгосрочными,SG-PL-PL,SG,PL,PL,bert,12.272903442382812
russian,12,0,Кредиты на участок из-за высокой стоимости земли был долгосрочным,PL-SG-SG,PL,SG,SG,bert,14.488420486450195
russian,12,0,Кредиты на участок из-за высокой стоимости земли были долгосрочными,PL-SG-PL,PL,SG,PL,bert,13.201740264892578
russian,12,0,Кредиты на участки из-за высокой стоимости земли был долгосрочным,PL-PL-SG,PL,PL,SG,bert,14.42521858215332
russian,12,0,Кредиты на участки из-за высокой стоимости земли были долгосрочными,PL-PL-PL,PL,PL,PL,bert,13.171720504760742
russian,13,0,Кружево на наряд в вышитый шелковый мешочек было упаковано,SG-SG-SG,SG,SG,SG,bert,12.908065795898438
russian,13,0,Кружево на наряд в вышитый шелковый мешочек были упакованы,SG-SG-PL,SG,SG,PL,bert,12.606435775756836
russian,13,0,Кружево на наряды в вышитый шелковый мешочек было упаковано,SG-PL-SG,SG,PL,SG,bert,12.630359649658203
russian,13,0,Кружево на наряды в вышитый шелковый мешочек были упакованы,SG-PL-PL,SG,PL,PL,bert,12.538049697875977
russian,13,0,Кружева на наряд в вышитый шелковый мешочек было упаковано,PL-SG-SG,PL,SG,SG,bert,13.338315963745117
russian,13,0,Кружева на наряд в вышитый шелковый мешочек были упакованы,PL-SG-PL,PL,SG,PL,bert,12.54741096496582
russian,13,0,Кружева на наряды в вышитый шелковый мешочек было упаковано,PL-PL-SG,PL,PL,SG,bert,13.065093040466309
russian,13,0,Кружева на наряды в вышитый шелковый мешочек были упакованы,PL-PL-PL,PL,PL,PL,bert,12.439825057983398
russian,14,0,Легенда про замок в старинной летописи графства была записана,SG-SG-SG,SG,SG,SG,bert,12.437353134155273
russian,14,0,Легенда про замок в старинной летописи графства были записаны,SG-SG-PL,SG,SG,PL,bert,10.877777099609375
russian,14,0,Легенда про замки в старинной летописи графства была записана,SG-PL-SG,SG,PL,SG,bert,12.480623245239258
russian,14,0,Легенда про замки в старинной летописи графства были записаны,SG-PL-PL,SG,PL,PL,bert,11.109756469726562
russian,14,0,Легенды про замок в старинной летописи графства была записана,PL-SG-SG,PL,SG,SG,bert,12.782158851623535
russian,14,0,Легенды про замок в старинной летописи графства были записаны,PL-SG-PL,PL,SG,PL,bert,10.833148956298828
russian,14,0,Легенды про замки в старинной летописи графства была записана,PL-PL-SG,PL,PL,SG,bert,12.832282066345215
russian,14,0,Легенды про замки в старинной летописи графства были записаны,PL-PL-PL,PL,PL,PL,bert,10.988117218017578
russian,15,0,Лестница в подвал из-за отсутствия свободного места была крутой,SG-SG-SG,SG,SG,SG,bert,12.415504455566406
russian,15,0,Лестница в подвал из-за отсутствия свободного места были крутыми,SG-SG-PL,SG,SG,PL,bert,10.910069465637207
russian,15,0,Лестница в подвалы из-за отсутствия свободного места была крутой,SG-PL-SG,SG,PL,SG,bert,12.322500228881836
russian,15,0,Лестница в подвалы из-за отсутствия свободного места были крутыми,SG-PL-PL,SG,PL,PL,bert,11.049247741699219
russian,15,0,Лестницы в подвал из-за отсутствия свободного места была крутой,PL-SG-SG,PL,SG,SG,bert,12.919477462768555
russian,15,0,Лестницы в подвал из-за отсутствия свободного места были крутыми,PL-SG-PL,PL,SG,PL,bert,11.423189163208008
russian,15,0,Лестницы в подвалы из-за отсутствия свободного места была крутой,PL-PL-SG,PL,PL,SG,bert,12.993566513061523
russian,15,0,Лестницы в подвалы из-за отсутствия свободного места были крутыми,PL-PL-PL,PL,PL,PL,bert,11.563940048217773
russian,16,0,Мост через овраг после окончания военных действий был возведен,SG-SG-SG,SG,SG,SG,bert,14.453006744384766
russian,16,0,Мост через овраг после окончания военных действий были возведены,SG-SG-PL,SG,SG,PL,bert,12.602413177490234
russian,16,0,Мост через овраги после окончания военных действий был возведен,SG-PL-SG,SG,PL,SG,bert,14.426519393920898
russian,16,0,Мост через овраги после окончания военных действий были возведены,SG-PL-PL,SG,PL,PL,bert,12.741473197937012
russian,16,0,Мосты через овраг после окончания военных действий был возведен,PL-SG-SG,PL,SG,SG,bert,14.47006607055664
russian,16,0,Мосты через овраг после окончания военных действий были возведены,PL-SG-PL,PL,SG,PL,bert,12.577713966369629
russian,16,0,Мосты через овраги после окончания военных действий был возведен,PL-PL-SG,PL,PL,SG,bert,14.448063850402832
russian,16,0,Мосты через овраги после окончания военных действий были возведены,PL-PL-PL,PL,PL,PL,bert,12.55459976196289
russian,17,0,Налог на доход из-за смены политического курса был повышен,SG-SG-SG,SG,SG,SG,bert,13.010368347167969
russian,17,0,Налог на доход из-за смены политического курса были повышены,SG-SG-PL,SG,SG,PL,bert,11.312138557434082
russian,17,0,Налог на доходы из-за смены политического курса был повышен,SG-PL-SG,SG,PL,SG,bert,12.909355163574219
russian,17,0,Налог на доходы из-за смены политического курса были повышены,SG-PL-PL,SG,PL,PL,bert,11.233466148376465
russian,17,0,Налоги на доход из-за смены политического курса был повышен,PL-SG-SG,PL,SG,SG,bert,13.594379425048828
russian,17,0,Налоги на доход из-за смены политического курса были повышены,PL-SG-PL,PL,SG,PL,bert,11.30323314666748
russian,17,0,Налоги на доходы из-за смены политического курса был повышен,PL-PL-SG,PL,PL,SG,bert,13.365257263183594
russian,17,0,Налоги на доходы из-за смены политического курса были повышены,PL-PL-PL,PL,PL,PL,bert,11.225312232971191
russian,18,0,Нападение на банк с применением холодного оружия было совершено,SG-SG-SG,SG,SG,SG,bert,14.401681900024414
russian,18,0,Нападение на банк с применением холодного оружия были совершены,SG-SG-PL,SG,SG,PL,bert,12.602313995361328
russian,18,0,Нападение на банки с применением холодного оружия было совершено,SG-PL-SG,SG,PL,SG,bert,14.550544738769531
russian,18,0,Нападение на банки с применением холодного оружия были совершены,SG-PL-PL,SG,PL,PL,bert,12.725536346435547
russian,18,0,Нападения на банк с применением холодного оружия было совершено,PL-SG-SG,PL,SG,SG,bert,14.978340148925781
russian,18,0,Нападения на банк с применением холодного оружия были совершены,PL-SG-PL,PL,SG,PL,bert,12.684296607971191
russian,18,0,Нападения на банки с применением холодного оружия было совершено,PL-PL-SG,PL,PL,SG,bert,15.131056785583496
russian,18,0,Нападения на банки с применением холодного оружия были совершены,PL-PL-PL,PL,PL,PL,bert,12.772599220275879
russian,19,0,Окно в сад из-за сильного холодного ветра было закрыто,SG-SG-SG,SG,SG,SG,bert,13.773963928222656
russian,19,0,Окно в сад из-за сильного холодного ветра были закрыты,SG-SG-PL,SG,SG,PL,bert,11.011699676513672
russian,19,0,Окно в сады из-за сильного холодного ветра было закрыто,SG-PL-SG,SG,PL,SG,bert,13.492549896240234
russian,19,0,Окно в сады из-за сильного холодного ветра были закрыты,SG-PL-PL,SG,PL,PL,bert,10.822214126586914
russian,19,0,Окна в сад из-за сильного холодного ветра было закрыто,PL-SG-SG,PL,SG,SG,bert,14.44141960144043
russian,19,0,Окна в сад из-за сильного холодного ветра были закрыты,PL-SG-PL,PL,SG,PL,bert,12.065746307373047
russian,19,0,Окна в сады из-за сильного холодного ветра было закрыто,PL-PL-SG,PL,PL,SG,bert,14.081174850463867
russian,19,0,Окна в сады из-за сильного холодного ветра были закрыты,PL-PL-PL,PL,PL,PL,bert,11.927593231201172
russian,20,0,Ответ на вопрос из-за недостаточного знания материала был неверным,SG-SG-SG,SG,SG,SG,bert,14.08914566040039
russian,20,0,Ответ на вопрос из-за недостаточного знания материала были неверными,SG-SG-PL,SG,SG,PL,bert,12.939628601074219
russian,20,0,Ответ на вопросы из-за недостаточного знания материала был неверным,SG-PL-SG,SG,PL,SG,bert,13.982481002807617
russian,20,0,Ответ на вопросы из-за недостаточного знания материала были неверными,SG-PL-PL,SG,PL,PL,bert,12.939421653747559
russian,20,0,Ответы на вопрос из-за недостаточного знания материала был неверным,PL-SG-SG,PL,SG,SG,bert,14.78057861328125
russian,20,0,Ответы на вопрос из-за недостаточного знания материала были неверными,PL-SG-PL,PL,SG,PL,bert,13.14667797088623
russian,20,0,Ответы на вопросы из-за недостаточного знания материала был неверным,PL-PL-SG,PL,PL,SG,bert,14.691999435424805
russian,20,0,Ответы на вопросы из-за недостаточного знания материала были неверными,PL-PL-PL,PL,PL,PL,bert,13.22787857055664
russian,21,0,Очередь в театр из-за большого наплыва туристов была бесконечной,SG-SG-SG,SG,SG,SG,bert,12.904777526855469
russian,21,0,Очередь в театр из-за большого наплыва туристов были бесконечными,SG-SG-PL,SG,SG,PL,bert,12.274699211120605
russian,21,0,Очередь в театры из-за большого наплыва туристов была бесконечной,SG-PL-SG,SG,PL,SG,bert,12.78300666809082
russian,21,0,Очередь в театры из-за большого наплыва туристов были бесконечными,SG-PL-PL,SG,PL,PL,bert,12.37567138671875
russian,21,0,Очереди в театр из-за большого наплыва туристов была бесконечной,PL-SG-SG,PL,SG,SG,bert,13.764524459838867
russian,21,0,Очереди в театр из-за большого наплыва туристов были бесконечными,PL-SG-PL,PL,SG,PL,bert,12.880857467651367
russian,21,0,Очереди в театры из-за большого наплыва туристов была бесконечной,PL-PL-SG,PL,PL,SG,bert,13.535087585449219
russian,21,0,Очереди в театры из-за большого наплыва туристов были бесконечными,PL-PL-PL,PL,PL,PL,bert,12.88848876953125
russian,22,0,Переправа через ручей из-за тяжёлых погодных условий была опасной,SG-SG-SG,SG,SG,SG,bert,12.60270881652832
russian,22,0,Переправа через ручей из-за тяжёлых погодных условий были опасными,SG-SG-PL,SG,SG,PL,bert,12.06986141204834
russian,22,0,Переправа через ручьи из-за тяжёлых погодных условий была опасной,SG-PL-SG,SG,PL,SG,bert,12.483185768127441
russian,22,0,Переправа через ручьи из-за тяжёлых погодных условий были опасными,SG-PL-PL,SG,PL,PL,bert,12.02459716796875
russian,22,0,Переправы через ручей из-за тяжёлых погодных условий была опасной,PL-SG-SG,PL,SG,SG,bert,13.309654235839844
russian,22,0,Переправы через ручей из-за тяжёлых погодных условий были опасными,PL-SG-PL,PL,SG,PL,bert,12.2991943359375
russian,22,0,Переправы через ручьи из-за тяжёлых погодных условий была опасной,PL-PL-SG,PL,PL,SG,bert,13.133041381835938
russian,22,0,Переправы через ручьи из-за тяжёлых погодных условий были опасными,PL-PL-PL,PL,PL,PL,bert,12.250081062316895
russian,23,0,Песня про поезд для большинства отставных машинистов была грустной,SG-SG-SG,SG,SG,SG,bert,13.728902816772461
russian,23,0,Песня про поезд для большинства отставных машинистов были грустными,SG-SG-PL,SG,SG,PL,bert,11.038564682006836
russian,23,0,Песня про поезда для большинства отставных машинистов была грустной,SG-PL-SG,SG,PL,SG,bert,13.72950267791748
russian,23,0,Песня про поезда для большинства отставных машинистов были грустными,SG-PL-PL,SG,PL,PL,bert,11.154463768005371
russian,23,0,Песни про поезд для большинства отставных машинистов была грустной,PL-SG-SG,PL,SG,SG,bert,14.901147842407227
russian,23,0,Песни про поезд для большинства отставных машинистов были грустными,PL-SG-PL,PL,SG,PL,bert,11.828282356262207
russian,23,0,Песни про поезда для большинства отставных машинистов была грустной,PL-PL-SG,PL,PL,SG,bert,14.890254020690918
russian,23,0,Песни про поезда для большинства отставных машинистов были грустными,PL-PL-PL,PL,PL,PL,bert,11.91590404510498
russian,24,0,Письмо про поход из маленького сибирского посёлка было отправлено,SG-SG-SG,SG,SG,SG,bert,14.193700790405273
russian,24,0,Письмо про поход из маленького сибирского посёлка были отправлены,SG-SG-PL,SG,SG,PL,bert,12.659042358398438
russian,24,0,Письмо про походы из маленького сибирского посёлка было отправлено,SG-PL-SG,SG,PL,SG,bert,14.12196159362793
russian,24,0,Письмо про походы из маленького сибирского посёлка были отправлены,SG-PL-PL,SG,PL,PL,bert,12.570113182067871
russian,24,0,Письма про поход из маленького сибирского посёлка было отправлено,PL-SG-SG,PL,SG,SG,bert,14.479196548461914
russian,24,0,Письма про поход из маленького сибирского посёлка были отправлены,PL-SG-PL,PL,SG,PL,bert,12.589847564697266
russian,24,0,Письма про походы из маленького сибирского посёлка было отправлено,PL-PL-SG,PL,PL,SG,bert,14.540422439575195
russian,24,0,Письма про походы из маленького сибирского посёлка были отправлены,PL-PL-PL,PL,PL,PL,bert,12.459010124206543
russian,25,0,План на выходной из-за визита назойливых родственников был разрушен,SG-SG-SG,SG,SG,SG,bert,12.479785919189453
russian,25,0,План на выходной из-за визита назойливых родственников были разрушены,SG-SG-PL,SG,SG,PL,bert,10.790842056274414
russian,25,0,План на выходные из-за визита назойливых родственников был разрушен,SG-PL-SG,SG,PL,SG,bert,12.323477745056152
russian,25,0,План на выходные из-за визита назойливых родственников были разрушены,SG-PL-PL,SG,PL,PL,bert,10.920969009399414
russian,25,0,Планы на выходной из-за визита назойливых родственников был разрушен,PL-SG-SG,PL,SG,SG,bert,12.84765625
russian,25,0,Планы на выходной из-за визита назойливых родственников были разрушены,PL-SG-PL,PL,SG,PL,bert,11.320764541625977
russian,25,0,Планы на выходные из-за визита назойливых родственников был разрушен,PL-PL-SG,PL,PL,SG,bert,12.904302597045898
russian,25,0,Планы на выходные из-за визита назойливых родственников были разрушены,PL-PL-PL,PL,PL,PL,bert,11.516908645629883
russian,26,0,Поездка на остров для молодых влюблённых студентов была незабываемой,SG-SG-SG,SG,SG,SG,bert,12.329465866088867
russian,26,0,Поездка на остров для молодых влюблённых студентов были незабываемыми,SG-SG-PL,SG,SG,PL,bert,12.267704963684082
russian,26,0,Поездка на острова для молодых влюблённых студентов была незабываемой,SG-PL-SG,SG,PL,SG,bert,12.27929401397705
russian,26,0,Поездка на острова для молодых влюблённых студентов были незабываемыми,SG-PL-PL,SG,PL,PL,bert,12.183629035949707
russian,26,0,Поездки на остров для молодых влюблённых студентов была незабываемой,PL-SG-SG,PL,SG,SG,bert,13.444583892822266
russian,26,0,Поездки на остров для молодых влюблённых студентов были незабываемыми,PL-SG-PL,PL,SG,PL,bert,12.479098320007324
russian,26,0,Поездки на острова для молодых влюблённых студентов была незабываемой,PL-PL-SG,PL,PL,SG,bert,13.324498176574707
russian,26,0,Поездки на острова для молодых влюблённых студентов были незабываемыми,PL-PL-PL,PL,PL,PL,bert,12.382049560546875
russian,27,0,Полёт через пролив из-за усилившегося северного ветра был запрещён,SG-SG-SG,SG,SG,SG,bert,13.246785163879395
russian,27,0,Полёт через пролив из-за усилившегося северного ветра были запрещены,SG-SG-PL,SG,SG,PL,bert,12.805356979370117
russian,27,0,Полёт через проливы из-за усилившегося северного ветра был запрещён,SG-PL-SG,SG,PL,SG,bert,13.246742248535156
russian,27,0,Полёт через проливы из-за усилившегося северного ветра были запрещены,SG-PL-PL,SG,PL,PL,bert,12.732229232788086
russian,27,0,Полёты через пролив из-за усилившегося северного ветра был запрещён,PL-SG-SG,PL,SG,SG,bert,13.56009578704834
russian,27,0,Полёты через пролив из-за усилившегося северного ветра были запрещены,PL-SG-PL,PL,SG,PL,bert,12.720367431640625
russian,27,0,Полёты через проливы из-за усилившегося северного ветра был запрещён,PL-PL-SG,PL,PL,SG,bert,13.497119903564453
russian,27,0,Полёты через проливы из-за усилившегося северного ветра были запрещены,PL-PL-PL,PL,PL,PL,bert,12.780475616455078
russian,28,0,Прогулка через парк для ценителей ландшафтного дизайна была приятной,SG-SG-SG,SG,SG,SG,bert,13.730911254882812
russian,28,0,Прогулка через парк для ценителей ландшафтного дизайна были приятными,SG-SG-PL,SG,SG,PL,bert,11.778528213500977
russian,28,0,Прогулка через парки для ценителей ландшафтного дизайна была приятной,SG-PL-SG,SG,PL,SG,bert,13.542569160461426
russian,28,0,Прогулка через парки для ценителей ландшафтного дизайна были приятными,SG-PL-PL,SG,PL,PL,bert,11.538914680480957
russian,28,0,Прогулки через парк для ценителей ландшафтного дизайна была приятной,PL-SG-SG,PL,SG,SG,bert,14.003180503845215
russian,28,0,Прогулки через парк для ценителей ландшафтного дизайна были приятными,PL-SG-PL,PL,SG,PL,bert,12.008235931396484
russian,28,0,Прогулки через парки для ценителей ландшафтного дизайна была приятной,PL-PL-SG,PL,PL,SG,bert,13.862857818603516
russian,28,0,Прогулки через парки для ценителей ландшафтного дизайна были приятными,PL-PL-PL,PL,PL,PL,bert,11.880642890930176
russian,29,0,Прыжок через костёр для обладателей коротких ног был рискованным,SG-SG-SG,SG,SG,SG,bert,11.676065444946289
russian,29,0,Прыжок через костёр для обладателей коротких ног были рискованными,SG-SG-PL,SG,SG,PL,bert,11.394510269165039
russian,29,0,Прыжок через костры для обладателей коротких ног был рискованным,SG-PL-SG,SG,PL,SG,bert,11.593875885009766
russian,29,0,Прыжок через костры для обладателей коротких ног были рискованными,SG-PL-PL,SG,PL,PL,bert,11.323145866394043
